Reg No,Candidate Name,Office,District,County,Party
CC10986,"Smith, Christopher ",Honolulu Council,6,Honolulu,Democrat
CC10909,"Smith, Daryl ",Senate,2,,Republican
CC10423,"Smith, Garry ",Honolulu Council,1,Honolulu,Non-Partisan
CC10202,"Smith, Paul ",Senate,13,,Republican
CC10802,"Solomon, Malama",Senate,4,,Democrat
CC10231,"Sonson, Alex ",Senate,18,,Democrat
CC10844,"Sonson, Alex",House,38,,Democrat
CC10259,"Souki, Joseph",House,8,,Democrat
CC10396,"Sparks, Steven ",House,4,,Democrat
CC10725,"Spence, Deborah ",Lt. Governor,,,Independent
CC10349,"Starr, Summer ",House,12,,Democrat
CC10615,"Steele, Christopher ",Governor,,,Republican
CC10781,"Stender, Oswald ",OHA                                               ,At-Large,,Non-Partisan
CC10925,"Stephens, Aaron ",House,4,,Non-Partisan
CC10729,"Sterker, Phillip ",House,16,,Republican
CC10244,"Stevens, Anne",House,22,,Republican
CC10407,"Stocksdale, Kaniu ",Hawaii Council,5,Hawaii,Non-Partisan
CC11033,"Strode, Ronald ",Mayor,,,
CC11031,"Stump, Christopher",House,17,,Democrat
CC10834,"Sua, Vai ",Honolulu Council,9,Honolulu,Non-Partisan
CC10989,"Suapaia, Jason",Honolulu Council,6,Honolulu,Non-Partisan
CC10239,"Sugimura, Jane ",House,32,,Democrat
CC10443,"Svrcina, Emil ",Honolulu Council,9,Honolulu,Non-Partisan
CC10963,"Svrcina, Emil ",House,37,,Republican
CC10961,"Swain, William",OHA                                               ,Kauai,,Non-Partisan
CC10707,"Swindell, Lyle",House,32,,Democrat
CC10934,"Synan, Dwight",House,20,,Democrat
CC10606,"Synan, Dwight ",House,20,,Democrat
CC10736,"Takabayashi, Roger ",BOE                                               ,At-Large,,Non-Partisan
CC10249,"Takai, K. Mark",House,33,,Democrat
CC10203,"Takamine, Dwight ",Senate,1,,Democrat
CC10953,"Takamura, Clifton ",House,21,,Democrat
CC10852,"Takata, Kevin",Prosecuting Attorney,,Honolulu,Independent
CC10914,"Takayama, Gregg",House,34,,Democrat
CC10247,"Takeuchi, Nathan ",House,36,,Democrat
CC10246,"Takumi, Roy",House,35,,Democrat
CC10286,"Tam, Rod",Senate,13,,Democrat
CC10342,"Tamayo, Tulsi Gabbard",Honolulu Council,6,Honolulu,Independent
CC10627,"Tanabe, Van ",Governor,,,Democrat
CC10204,"Taniguchi, Brian",Senate,11,,Democrat
CC10325,"Tanonaka, Dalton",Lt. Governor,,,Republican
CC10300,"Tavares, Charmaine ",Mayor,,Maui,Non-Partisan
CC10484,"Tavares, Deirdre Moana ",House,3,,Republican
CC10491,"Taylor, Kenneth",Kauai Council,Kauai,Kauai,Democrat
CC10799,"Teruya, Patricia ",Honolulu Council,1,Honolulu,Non-Partisan
CC10493,"Texeira, Steven ",Hawaii Council,7,Hawaii,Non-Partisan
CC10205,"Thielen, Cynthia",House,50,,Republican
CC10867,"Thielen, Laura",Senate,25,,Democrat
CC10894,"Thompson, Rachel ",Hawaii Council,2,Hawaii,Non-Partisan
CC10774,"Thomson, Zach ",House,24,,Republican
CC10970,"Thomson, Zachary ",House,23,,Republican
CC10489,"Thronas, George ",Kauai Council,Kauai,Kauai,Democrat
CC10655,"Toelupe, Sesa Pepe ",Governor,,,Democrat
CC10388,"Toguchi, Garrett",BOE                                               ,No Dept.,,Non-Partisan
CC10278,"Tokioka, James",House,15,,Democrat
CC10282,"Tokuda, Jill",Senate,24,,Democrat
CC10206,"Tom, Robert ",House,26,,Republican
CC10339,"Tom, Terrance ",BOE                                               ,At-Large,,Non-Partisan
CC10382,"Torres, Raynard ",Hawaii Council,9,Hawaii,Democrat
CC10865,"Totten, John ",Senate,3,,Republican
CC10588,"Toyomura, Ryan",Lt. Governor,,,Democrat
CC11038,"Trask, Mililani",OHA                                               ,At-Large,,Democrat
CC10153,"Trimble, Gordon ",Senate,12,,Republican
CC10957,"Trujillo, Troy",House,16,,Republican
CC10217,"Tsuji, Clifton",House,2,,Democrat
CC10445,"Tsuneyoshi, Resa ",Senate,17,,Democrat
CC10238,"Tsutsui, Shan",Lt. Governor,,,Democrat
CC10161,"Tulang, Michael ",Hawaii Council,2,Hawaii,Non-Partisan
CC10850,"Tungpalan, Eloise Yamashita ",House,34,,Democrat
CC10995,"Tupola, Andria",House,43,,Republican
CC10550,"Turbin, Richard",Honolulu Council,4,Honolulu,Non-Partisan
CC10154,"Turner, Jeff ",Hawaii Council,7,Hawaii,Non-Partisan
CC10292,"Valenciano, Randal ",Kauai Council,At-Large,Kauai,Non-Partisan
CC10724,"Vannatta, Sharon ",House,2,,Republican
CC10787,"Vares, Norman ",Maui Council,South Maui,Maui,Non-Partisan
CC10519,"Vares, Norman ",Maui Council,South Maui,Maui,Non-Partisan
CC10421,"Vasquez-Dela Cerna, Lynn ",House,27,,Democrat
CC10840,"Velasco, Nicole",House,30,,Democrat
CC10796,"Velleses, Gary ",Honolulu Council,1,Honolulu,Non-Partisan
CC10387,"Verdadero, Dante ",House,35,,Democrat
CC10248,"Victorino, Michael",Maui Council,Wailuku,Maui,Non-Partisan
CC10769,"Vieira, Robert ",Honolulu Council,6,Honolulu,Non-Partisan
CC10990,"Vieira, Robert ",Honolulu Council,6,Honolulu,Democrat
CC10516,"Vierra, Mickey ",House,12,,Republican
CC10677,"Villaruz, Danilo (Danny)",House,31,,Democrat
CC10920,"Vincent, Henry",House,51,,Republican
CC10299,"Visperas, Terry ",House,30,,Democrat
CC10548,"Waialeale, George ",Honolulu Council,5,Honolulu,Democrat
CC10511,"Waihee, Jennifer",House,27,,Democrat
CC10214,"Waihee, John",OHA                                               ,At-Large,,Democrat
CC10208,"Wakai, Glenn",Senate,15,,Democrat
CC10973,"Walls, Rand ",Mayor,,Hawaii,Non-Partisan
CC10425,"Walsh, Patrick ",BOE                                               ,1st Dept. (Hawaii),,Non-Partisan
CC10209,"Ward, Gene",House,17,,Republican
CC10442,"Wasson, Dawn ",House,46,,Democrat
CC10716,"Wasson, Dawn",House,46,,Democrat
CC10369,"Watanabe, Herbert ",BOE                                               ,2,,Non-Partisan
CC10276,"Waters, Thomas ",House,51,,Democrat
CC11024,"Waters, Tommy",Honolulu Council,4,Honolulu,Non-Partisan
CC10659,"Waugh, Timothy ",Senate,2,,Democrat
CC10826,"Weatherford, James ",Hawaii Council,4,Hawaii,Non-Partisan
CC10570,"Weatherford, James ",Hawaii Council,5,Hawaii,Non-Partisan
CC10481,"Weinert, Eric ",House,1,,Republican
CC11045,"Wendt, Mahealani",OHA                                               ,Maui,,Non-Partisan
CC10277,"West, Stephen ",House,11,,Democrat
CC10841,"Westervelt, Bradley ",Hawaii Council,6,Hawaii,Non-Partisan
CC10155,"Whalen, Paul ",Senate,3,,Republican
CC10556,"White, John",Honolulu Council,2,Honolulu,Non-Partisan
CC10669,"White, Michael",Maui Council,Makawao,Maui,Non-Partisan
CC10749,"White, Thomas ",House,23,,Republican
CC10521,"Widner, Lance ",Honolulu Council,9,Honolulu,Non-Partisan
CC10227,"Wilcox, Mike ",Honolulu Council,6,Honolulu,Non-Partisan
CC10831,"Wilhelm, Steve ",Hawaii Council,2,Hawaii,Non-Partisan
CC10817,"Wille, Margaret",Hawaii Council,9,Hawaii,Non-Partisan
CC10738,"Williams, Harry ",House,14,,Republican
CC10740,"Wilson, Herman ",Senate,7,,Independent
CC10643,"Wilson, Leona Rocha ",BOE                                               ,Maui,,Non-Partisan
CC10546,"Winfree, Earl ",Honolulu Council,5,Honolulu,Democrat
CC10587,"Winfree, Earl ",Senate,11,,Democrat
CC10954,"Wingard, Lori",House,18,,Republican
CC10717,"Wolfgramm, Makahaa",House,51,,Republican
CC10997,"Wong, Arnold",House,33,,Democrat
CC10766,"Wong, Carl ",House,39,,Republican
CC10586,"Wong, Christopher",Honolulu Council,6,Honolulu,Non-Partisan
CC10294,"Wong, Collin ",House,28,,Republican
CC10747,"Wong, William ",House,34,,Republican
CC11022,"Wong-Kalu, Hinaleimoana",OHA                                               ,At-Large,,Non-Partisan
CC10993,"Woodson, Justin",House,9,,Democrat
CC10358,"Wooley, Jessica",House,48,,Democrat
CC10681,"Wurst, Barry ",BOE                                               ,2,,Non-Partisan
CC10932,"Yadao, Leland ",OHA                                               ,Kauai,,Non-Partisan
CC10768,"Yago, Reginald",House,35,,Republican
CC10956,"Yagong, Chelsea",Hawaii Council,1,Hawaii,Democrat
CC10313,"Yagong, Dominic",Mayor,,Hawaii,Non-Partisan
CC10898,"Yamane, Brian ",House,19,,Democrat
CC10306,"Yamane, Brian ",BOE                                               ,9,,Democrat
CC10762,"Yamane, John ",Senate,7,,Democrat
CC10235,"Yamane, Ryan",House,37,,Democrat
CC10232,"Yamashita, Kyle",House,12,,Democrat
CC10564,"Yaqoob, Anosh ",House,31,,Democrat
CC10510,"Yaw, Shane ",House,29,,Republican
CC10291,"Yee, Randall",BOE                                               ,9,,Democrat
CC11036,"Yoder, Steven",House,15,,Republican
CC10281,"Yoshimoto, J",Hawaii Council,2,Hawaii,Non-Partisan
CC10978,"Yoshimura, Jon ",Honolulu Council,6,Honolulu,Non-Partisan
CC10886,"Young, Darrell",House,19,,Republican
CC10703,"Young, Pamela ",BOE                                               ,No Dept.,,Non-Partisan
CC10685,"Young, Sammye Ann ",Hawaii Council,2,Hawaii,Non-Partisan
CC10471,"Young, Tsing ",Hawaii Council,8,Hawaii,Democrat
CC10985,"Youngquist, Arvid ",Honolulu Council,6,Honolulu,Democrat
CC10798,"Yuen, Victoria (Cissy) ",Honolulu Council,1,Honolulu,Democrat
CC10262,"Yukimura, JoAnn",Kauai Council,At-Large,Kauai,Democrat
CC11003,"Zibakalam, Emmanuel",House,21,,Democrat
