Reg No,Expenditure Category,Election Period,sum_amount
CC10134,Hawaii Election Campaign Fund,2012-2014,2875
CC10134,Professional Services,2012-2014,825
CC10134,Other,2012-2014,2000
CC10134,Contribution to Community Organization,2012-2014,4000
CC10135,"Surveys, Polls & Voter Lists",2006-2008,12722.72
CC10135,Lease/Rent,2006-2008,1509.42
CC10135,Vehicle,2006-2008,5425.15
CC10135,Filing Fee,2006-2008,258
CC10135,Bank Charges & Adjustments,2006-2008,31
CC10135,Professional Services,2006-2008,96429.4
CC10135,Utilities,2006-2008,168.04
CC10135,Travel & Lodging,2006-2008,1689.98
CC10135,Advertising,2006-2008,38855.34
CC10135,Postage/Mailing,2006-2008,1275.92
CC10135,Office Supplies,2006-2008,1291.81
CC10135,Other,2006-2008,8887.62
CC10135,Food & Beverages,2006-2008,9067.91
CC10135,Candidate Fundraiser Tickets,2006-2008,200
CC10135,Printing,2006-2008,3645.49
CC10135,Contribution to Political Party,2006-2008,500
CC10135,Contribution to Community Organization,2006-2008,1120
CC10135,Vehicle,2008-2010,1253.15
CC10135,Lease/Rent,2008-2010,542.42
CC10135,Postage/Mailing,2008-2010,289.22
CC10135,Advertising,2008-2010,2824.04
CC10135,Contribution to Political Party,2008-2010,750
CC10135,Candidate Fundraiser Tickets,2008-2010,2250
CC10135,Travel & Lodging,2008-2010,1784.93
CC10135,Professional Services,2008-2010,9698.66
CC10135,Office Supplies,2008-2010,1278.7
CC10135,Other,2008-2010,2979.35
CC10135,Food & Beverages,2008-2010,4604.43
CC10135,Contribution to Community Organization,2008-2010,1840
CC10135,Candidate Fundraiser Tickets,2010-2012,500
CC10135,Lease/Rent,2010-2012,156.25
CC10135,Vehicle,2010-2012,2329.88
CC10135,Bank Charges & Adjustments,2010-2012,61.97
CC10135,Filing Fee,2010-2012,258
CC10135,Postage/Mailing,2010-2012,448.91
CC10135,"Surveys, Polls & Voter Lists",2010-2012,1000
CC10135,Travel & Lodging,2010-2012,1359.82
CC10135,Contribution to Political Party,2010-2012,1805
CC10135,Printing,2010-2012,1139.53
CC10135,Advertising,2010-2012,13440.38
CC10135,Contribution to Community Organization,2010-2012,2605
CC10135,Office Supplies,2010-2012,711.15
CC10135,Professional Services,2010-2012,32443.26
CC10135,Other,2010-2012,4320.66
CC10135,Food & Beverages,2010-2012,12226.65
CC10135,Vehicle,2012-2014,2894.49
CC10135,"Surveys, Polls & Voter Lists",2012-2014,22382.19
CC10135,Lease/Rent,2012-2014,1347.9
CC10135,Bank Charges & Adjustments,2012-2014,7
CC10135,Filing Fee,2012-2014,260
CC10135,Professional Services,2012-2014,56768.01
CC10135,Contribution to Political Party,2012-2014,4000
CC10135,Travel & Lodging,2012-2014,354.4
CC10135,Postage/Mailing,2012-2014,13165.1
CC10135,Printing,2012-2014,1583.7
CC10135,Office Supplies,2012-2014,1110.18
CC10135,Advertising,2012-2014,45199.82
CC10135,Contribution to Community Organization,2012-2014,3345
CC10135,Candidate Fundraiser Tickets,2012-2014,6500
CC10135,Food & Beverages,2012-2014,12475.66
CC10135,Other,2012-2014,4326.13
CC10135,Vehicle,2014-2016,1070.34
CC10135,Printing,2014-2016,61.87
CC10135,Postage/Mailing,2014-2016,147
CC10135,Office Supplies,2014-2016,309.29
CC10135,Bank Charges & Adjustments,2014-2016,168.26
CC10135,Lease/Rent,2014-2016,1738.53
CC10135,Travel & Lodging,2014-2016,935.22
CC10135,Contribution to Political Party,2014-2016,1792.98
CC10135,Other,2014-2016,4531.24
CC10135,Professional Services,2014-2016,2096.71
CC10135,Advertising,2014-2016,7446.66
CC10135,Candidate Fundraiser Tickets,2014-2016,1225
CC10135,Contribution to Community Organization,2014-2016,8517.06
CC10135,Food & Beverages,2014-2016,9183.72
CC10135,Office Supplies,2016-2018,49.23
CC10135,Postage/Mailing,2016-2018,90.05
CC10135,Contribution to Community Organization,2016-2018,300
CC10135,Other,2016-2018,20.63
CC10135,Lease/Rent,2016-2018,552.1
CC10135,Professional Services,2016-2018,364.05
CC10135,Advertising,2016-2018,2263.44
CC10135,Food & Beverages,2016-2018,3179.86
CC10136,Postage/Mailing,2006-2008,3659.6
CC10136,Advertising,2006-2008,3159.16
CC10136,Office Supplies,2006-2008,99.44
CC10136,Printing,2006-2008,1536.13
CC10136,Food & Beverages,2006-2008,1314.9
CC10136,Durable Assets,2006-2008,4719.11
CC10136,Lease/Rent,2006-2008,108
CC10136,Contribution to Political Party,2006-2008,2150
CC10136,Other,2006-2008,480
CC10136,Contribution to Community Organization,2006-2008,710.76
CC10136,Filing Fee,2008-2010,750
CC10136,Lease/Rent,2008-2010,1077.26
CC10136,Office Supplies,2008-2010,366.21
CC10136,Postage/Mailing,2008-2010,971.36
CC10136,Printing,2008-2010,50940.34
CC10136,Travel & Lodging,2008-2010,4903.39
CC10136,"Surveys, Polls & Voter Lists",2008-2010,5130.89
CC10136,Contribution to Community Organization,2008-2010,1416
CC10136,Food & Beverages,2008-2010,14039.96
CC10136,Other,2008-2010,7974.75
CC10136,Advertising,2008-2010,255780.24
CC10136,Professional Services,2008-2010,110346.5
CC10136,Bank Charges & Adjustments,2010-2012,90
CC10136,Other,2010-2012,300
CC10136,Lease/Rent,2010-2012,116
CC10136,Bank Charges & Adjustments,2012-2014,105
CC10136,Advertising,2012-2014,15
CC10136,Food & Beverages,2014-2016,4057.64
CC10136,Lease/Rent,2014-2016,200
CC10136,Lease/Rent,2016-2018,100
CC10137,Filing Fee,2006-2008,250
CC10137,Professional Services,2006-2008,11308.89
CC10137,Contribution to Political Party,2006-2008,250
CC10137,Candidate Fundraiser Tickets,2006-2008,4000
CC10137,Contribution to Community Organization,2006-2008,1550
CC10137,Insurance,2006-2008,1508
CC10137,Durable Assets,2006-2008,35157.2
CC10137,Printing,2006-2008,12404.33
CC10137,Bank Charges & Adjustments,2006-2008,513
CC10137,Postage/Mailing,2006-2008,32285.49
CC10137,Food & Beverages,2006-2008,13481.7
CC10137,Vehicle,2006-2008,7206.09
CC10137,Other,2006-2008,13325.5
CC10137,Advertising,2006-2008,20582.5
CC10137,Office Supplies,2006-2008,1316.47
CC10137,Candidate Fundraiser Tickets,2008-2010,170
CC10137,Printing,2008-2010,10437.83
CC10137,Postage/Mailing,2008-2010,23792.69
CC10137,Contribution to Community Organization,2008-2010,2980
CC10137,Bank Charges & Adjustments,2008-2010,490
CC10137,Food & Beverages,2008-2010,7181.06
CC10137,Vehicle,2008-2010,6834.9
CC10137,Office Supplies,2008-2010,1707.68
CC10137,Other,2008-2010,7352.9
CC10137,Advertising,2008-2010,3151.19
CC10137,Professional Services,2008-2010,10468.85
CC10137,Printing,2010-2012,6326.48
CC10137,Postage/Mailing,2010-2012,11430.57
CC10137,Bank Charges & Adjustments,2010-2012,276.52
CC10137,Vehicle,2010-2012,7131.09
CC10137,Contribution to Community Organization,2010-2012,490
CC10137,Travel & Lodging,2010-2012,33
CC10137,Advertising,2010-2012,20749.9
CC10137,Professional Services,2010-2012,8769.41
CC10137,Office Supplies,2010-2012,1144.92
CC10137,Food & Beverages,2010-2012,6408.13
CC10137,Other,2010-2012,5850.83
CC10137,Filing Fee,2012-2014,250
CC10137,Postage/Mailing,2012-2014,4325.65
CC10137,Printing,2012-2014,3853.58
CC10137,Contribution to Community Organization,2012-2014,1499.37
CC10137,Bank Charges & Adjustments,2012-2014,60
CC10137,Other,2012-2014,5524.32
CC10137,Office Supplies,2012-2014,354.3
CC10137,Advertising,2012-2014,2409.82
CC10137,Vehicle,2012-2014,7578.91
CC10137,Food & Beverages,2012-2014,3078.44
CC10137,Professional Services,2012-2014,20063.35
CC10137,Filing Fee,2014-2016,250
CC10137,Lease/Rent,2014-2016,128
CC10137,Contribution to Community Organization,2014-2016,159
CC10137,Professional Services,2014-2016,8026.71
CC10137,Postage/Mailing,2014-2016,5523.41
CC10137,Printing,2014-2016,9470.16
CC10137,Vehicle,2014-2016,3732.16
CC10137,Other,2014-2016,7705.74
CC10137,Food & Beverages,2014-2016,3821.3
CC10137,Office Supplies,2014-2016,937.73
CC10137,Advertising,2014-2016,20606.2
CC10137,Professional Services,2016-2018,3047.12
CC10137,Postage/Mailing,2016-2018,1559
CC10137,Printing,2016-2018,1157.07
CC10137,Civic or Community Group Membership,2016-2018,35
CC10137,Contribution to Community Organization,2016-2018,2000
CC10137,Other,2016-2018,475
CC10137,Vehicle,2016-2018,1045.11
CC10137,Food & Beverages,2016-2018,1527.1
CC10137,Advertising,2016-2018,620
CC10138,Filing Fee,2008-2010,500
CC10138,Contribution to Political Party,2008-2010,500
CC10138,Utilities,2008-2010,1331.94
CC10138,Advertising,2008-2010,359210.91
CC10138,Bank Charges & Adjustments,2008-2010,2650.36
CC10138,"Surveys, Polls & Voter Lists",2008-2010,250
CC10138,Lease/Rent,2008-2010,11784.14
CC10138,Insurance,2008-2010,1980.42
CC10138,Durable Assets,2008-2010,523.55
CC10138,Professional Services,2008-2010,40749.56
CC10138,Food & Beverages,2008-2010,13781.3
CC10138,Postage/Mailing,2008-2010,16829.42
CC10138,Printing,2008-2010,51385.02
CC10138,Other,2008-2010,17221.13
CC10138,Office Supplies,2008-2010,1805.2
CC10138,Taxes,2010-2012,25.5
CC10138,Durable Assets,2010-2012,1496.59
CC10138,Filing Fee,2010-2012,500
CC10138,Employee Services,2010-2012,44940.37
CC10138,Insurance,2010-2012,2246.86
CC10138,Bank Charges & Adjustments,2010-2012,3238.87
CC10138,Utilities,2010-2012,6630.17
CC10138,Travel & Lodging,2010-2012,3224.03
CC10138,"Surveys, Polls & Voter Lists",2010-2012,64244.66
CC10138,Advertising,2010-2012,318324.09
CC10138,Lease/Rent,2010-2012,20235.56
CC10138,Postage/Mailing,2010-2012,3559.37
CC10138,Food & Beverages,2010-2012,94295.72
CC10138,Office Supplies,2010-2012,1236.43
CC10138,Professional Services,2010-2012,152080.74
CC10138,Printing,2010-2012,46775.13
CC10138,Other,2010-2012,24095.97
CC10138,Postage/Mailing,2012-2014,284.92
CC10138,Other,2012-2014,87.88
CC10138,Contribution to Community Organization,2012-2014,2025
CC10138,Utilities,2012-2014,159.84
CC10138,Professional Services,2012-2014,1112.27
CC10138,Bank Charges & Adjustments,2012-2014,153.88
CC10140,Hawaii Election Campaign Fund,2006-2008,50
CC10140,Vehicle,2006-2008,282.16
CC10140,Bank Charges & Adjustments,2006-2008,4847.33
CC10140,Filing Fee,2006-2008,258
CC10140,Professional Services,2006-2008,41083.6
CC10140,Other,2006-2008,2242.42
CC10140,Durable Assets,2006-2008,5182.23
CC10140,Utilities,2006-2008,1982.74
CC10140,Printing,2006-2008,4239.36
CC10140,Advertising,2006-2008,1884.58
CC10140,Postage/Mailing,2006-2008,765.26
CC10140,Lease/Rent,2006-2008,132
CC10140,Food & Beverages,2006-2008,7565.73
CC10140,Office Supplies,2006-2008,6105.77
CC10140,Travel & Lodging,2006-2008,2828.32
CC10140,Printing,2008-2010,1551.47
CC10140,Lease/Rent,2008-2010,198
CC10140,Professional Services,2008-2010,16520.85
CC10140,Office Supplies,2008-2010,654.63
CC10140,Other,2008-2010,206.24
CC10140,Utilities,2008-2010,6553.3
CC10140,Advertising,2008-2010,857.5
CC10140,Contribution to Community Organization,2008-2010,200
CC10140,Food & Beverages,2008-2010,2024.06
CC10140,Durable Assets,2008-2010,645.33
CC10140,Travel & Lodging,2008-2010,2026.06
CC10140,"Surveys, Polls & Voter Lists",2010-2012,351.04
CC10140,Contribution to Political Party,2010-2012,325
CC10140,Bank Charges & Adjustments,2010-2012,96.39
CC10140,Postage/Mailing,2010-2012,4073.42
CC10140,Durable Assets,2010-2012,7687.41
CC10140,Utilities,2010-2012,5087.37
CC10140,Advertising,2010-2012,1419.67
CC10140,Filing Fee,2010-2012,258
CC10140,Lease/Rent,2010-2012,206
CC10140,Printing,2010-2012,10203.89
CC10140,Travel & Lodging,2010-2012,4139.36
CC10140,Office Supplies,2010-2012,4016.83
CC10140,Other,2010-2012,5359.59
CC10140,Contribution to Community Organization,2010-2012,250
CC10140,Professional Services,2010-2012,23700
CC10140,Food & Beverages,2010-2012,12142.27
CC10140,Travel & Lodging,2012-2014,1161.15
CC10140,Lease/Rent,2012-2014,350
CC10140,Hawaii Election Campaign Fund,2012-2014,150
CC10140,Professional Services,2012-2014,53500
CC10140,Advertising,2012-2014,478.24
CC10140,Other,2012-2014,216.24
CC10140,Printing,2012-2014,1187.64
CC10140,Durable Assets,2012-2014,1812.49
CC10140,Utilities,2012-2014,4167.85
CC10140,Filing Fee,2012-2014,250
CC10140,Candidate Fundraiser Tickets,2012-2014,1000
CC10140,Food & Beverages,2012-2014,10673.7
CC10140,Office Supplies,2012-2014,1845.54
CC10140,Contribution to Community Organization,2012-2014,300
CC10140,Printing,2014-2016,111.46
CC10140,Lease/Rent,2014-2016,501.2
CC10140,Bank Charges & Adjustments,2014-2016,536.78
CC10140,Other,2014-2016,436.76
CC10140,Professional Services,2014-2016,32000
CC10140,Taxes,2014-2016,28.04
CC10140,Utilities,2014-2016,5150.68
CC10140,Contribution to Political Party,2014-2016,500
CC10140,Travel & Lodging,2014-2016,15258.69
CC10140,Contribution to Community Organization,2014-2016,1000
CC10140,Food & Beverages,2014-2016,9437.84
CC10140,Office Supplies,2014-2016,2140.22
CC10140,Other,2016-2018,2030
CC10140,Lease/Rent,2016-2018,3397.14
CC10140,Travel & Lodging,2016-2018,909.41
CC10140,Durable Assets,2016-2018,1820.8
CC10140,Food & Beverages,2016-2018,1494.05
CC10140,Utilities,2016-2018,2049.92
CC10141,Contribution to Community Organization,2006-2008,925.41
CC10142,Filing Fee,2006-2008,250
CC10142,Lease/Rent,2006-2008,156.03
CC10142,Vehicle,2006-2008,44.5
CC10142,Bank Charges & Adjustments,2006-2008,48
CC10142,Contribution to Political Party,2006-2008,2500
CC10142,Contribution to Community Organization,2006-2008,525
CC10142,Printing,2006-2008,1109.33
CC10142,Office Supplies,2006-2008,538.23
CC10142,Advertising,2006-2008,15362.41
CC10142,Professional Services,2006-2008,12721.7
CC10142,Postage/Mailing,2006-2008,1163.67
CC10142,Other,2006-2008,4789.78
CC10142,Food & Beverages,2006-2008,9050.65
CC10142,Advertising,2008-2010,309.42
CC10142,Lease/Rent,2008-2010,116
CC10142,Other,2008-2010,89.34
CC10142,Office Supplies,2008-2010,247.47
CC10142,Food & Beverages,2008-2010,967.61
CC10142,Vehicle,2008-2010,8
CC10142,Contribution to Community Organization,2008-2010,1475.05
CC10142,Contribution to Political Party,2010-2012,5185
CC10142,Candidate Fundraiser Tickets,2010-2012,200
CC10142,Office Supplies,2010-2012,68.34
CC10142,Contribution to Community Organization,2010-2012,5154.23
CC10142,Vehicle,2010-2012,111.2
CC10142,Food & Beverages,2010-2012,1190.94
CC10142,Other,2010-2012,17144.84
CC10142,Bank Charges & Adjustments,2012-2014,20
CC10142,Hawaii Election Campaign Fund,2012-2014,788.26
CC10143,"Surveys, Polls & Voter Lists",2006-2008,279.25
CC10143,Durable Assets,2006-2008,8594.88
CC10143,Bank Charges & Adjustments,2006-2008,419.64
CC10143,Lease/Rent,2006-2008,600
CC10143,Office Supplies,2006-2008,3038.43
CC10143,Candidate Fundraiser Tickets,2006-2008,5853.39
CC10143,Postage/Mailing,2006-2008,9778.88
CC10143,Printing,2006-2008,10330.72
CC10143,Advertising,2006-2008,47098.6
CC10143,Professional Services,2006-2008,26121.46
CC10143,Contribution to Political Party,2006-2008,2500
CC10143,Other,2006-2008,8133.28
CC10143,Food & Beverages,2006-2008,5839.53
CC10143,Hawaii Election Campaign Fund,2006-2008,1250.1
CC10143,Bank Charges & Adjustments,2008-2010,57.5
CC10143,Lease/Rent,2008-2010,16327.4
CC10143,Travel & Lodging,2008-2010,66.15
CC10143,Advertising,2008-2010,8204.73
CC10143,"Surveys, Polls & Voter Lists",2008-2010,31863.77
CC10143,Office Supplies,2008-2010,554.01
CC10143,Printing,2008-2010,2592.93
CC10143,Postage/Mailing,2008-2010,2030.6
CC10143,Contribution to Political Party,2008-2010,25000
CC10143,Professional Services,2008-2010,57688.09
CC10143,Food & Beverages,2008-2010,4029.21
CC10143,Other,2008-2010,8304.02
CC10143,Contribution to Political Party,2010-2012,14000
CC10143,Other,2010-2012,101535.74
CC10143,Professional Services,2010-2012,10567.08
CC10143,Contribution to Community Organization,2010-2012,2000
CC10144,Lease/Rent,2006-2008,928.27
CC10144,Employee Services,2006-2008,1500
CC10144,Filing Fee,2006-2008,250
CC10144,Contribution to Community Organization,2006-2008,450
CC10144,Office Supplies,2006-2008,6048.88
CC10144,Contribution to Political Party,2006-2008,410
CC10144,Advertising,2006-2008,6058.43
CC10144,Other,2006-2008,1417.33
CC10144,Printing,2006-2008,11436.22
CC10144,Postage/Mailing,2006-2008,11171.32
CC10144,Durable Assets,2006-2008,2196.75
CC10144,Food & Beverages,2006-2008,8107.21
CC10144,Postage/Mailing,2008-2010,444
CC10144,Durable Assets,2008-2010,230.34
CC10144,Candidate Fundraiser Tickets,2008-2010,400
CC10144,Filing Fee,2008-2010,56.94
CC10144,Office Supplies,2008-2010,1594.89
CC10144,Advertising,2008-2010,1043.76
CC10144,Contribution to Community Organization,2008-2010,945
CC10144,Utilities,2008-2010,25.9
CC10144,Professional Services,2008-2010,5739.45
CC10144,Other,2008-2010,1393.91
CC10144,Food & Beverages,2008-2010,9472.93
CC10144,Lease/Rent,2010-2012,52.35
CC10144,Filing Fee,2010-2012,46.21
CC10144,Vehicle,2010-2012,315.38
CC10144,Candidate Fundraiser Tickets,2010-2012,400
CC10144,Postage/Mailing,2010-2012,16588.54
CC10144,Contribution to Community Organization,2010-2012,813.3
CC10144,Professional Services,2010-2012,1394
CC10144,Other,2010-2012,6017.89
CC10144,Advertising,2010-2012,48829.15
CC10144,Food & Beverages,2010-2012,31912.92
CC10144,Printing,2010-2012,12995.66
CC10144,Office Supplies,2010-2012,1653.25
CC10144,Hawaii Election Campaign Fund,2010-2012,4000
CC10144,Travel & Lodging,2012-2014,52
CC10144,Bank Charges & Adjustments,2012-2014,1204.22
CC10144,Filing Fee,2012-2014,750
CC10144,Lease/Rent,2012-2014,1387.12
CC10144,Insurance,2012-2014,525
CC10144,Employee Services,2012-2014,6000
CC10144,Candidate Fundraiser Tickets,2012-2014,1600
CC10144,Contribution to Community Organization,2012-2014,1535
CC10144,Contribution to Political Party,2012-2014,5000
CC10144,Vehicle,2012-2014,375.09
CC10144,Utilities,2012-2014,2115.37
CC10144,Durable Assets,2012-2014,3239.71
CC10144,Postage/Mailing,2012-2014,2494.81
CC10144,Professional Services,2012-2014,32990.31
CC10144,Advertising,2012-2014,581108.81
CC10144,Office Supplies,2012-2014,1481.6
CC10144,"Surveys, Polls & Voter Lists",2012-2014,22870.09
CC10144,Printing,2012-2014,1928.7
CC10144,Food & Beverages,2012-2014,27945.74
CC10144,Other,2012-2014,8106.41
CC10144,Hawaii Election Campaign Fund,2012-2014,4600
CC10144,Bank Charges & Adjustments,2014-2016,39.96
CC10144,Utilities,2014-2016,196.51
CC10144,Professional Services,2014-2016,1718.32
CC10144,Food & Beverages,2014-2016,72.17
CC10144,Postage/Mailing,2014-2016,491.92
CC10144,Hawaii Election Campaign Fund,2014-2016,583
CC10144,Postage/Mailing,2016-2018,90
CC10144,Bank Charges & Adjustments,2016-2018,85.32
CC10145,Contribution to Community Organization,2006-2008,2000
CC10145,Bank Charges & Adjustments,2006-2008,18.55
CC10145,Professional Services,2006-2008,367.64
CC10146,Filing Fee,2006-2008,258
CC10146,Bank Charges & Adjustments,2006-2008,26.14
CC10146,Vehicle,2006-2008,322.48
CC10146,Durable Assets,2006-2008,1520.11
CC10146,Advertising,2006-2008,24826.8
CC10146,Travel & Lodging,2006-2008,835.55
CC10146,Lease/Rent,2006-2008,1925.21
CC10146,Postage/Mailing,2006-2008,3632.9
CC10146,Office Supplies,2006-2008,749.69
CC10146,Other,2006-2008,155.84
CC10146,Printing,2006-2008,4769.62
CC10146,Food & Beverages,2006-2008,10271.53
CC10146,Contribution to Political Party,2006-2008,2035
CC10146,Utilities,2006-2008,1176.17
CC10146,Contribution to Community Organization,2006-2008,1255
CC10146,Professional Services,2006-2008,13408.38
CC10146,Insurance,2008-2010,1682.76
CC10146,Filing Fee,2008-2010,75
CC10146,Employee Services,2008-2010,6329.72
CC10146,Contribution to Political Party,2008-2010,1689
CC10146,Utilities,2008-2010,4175.69
CC10146,Lease/Rent,2008-2010,13499.5
CC10146,Printing,2008-2010,18055.35
CC10146,"Surveys, Polls & Voter Lists",2008-2010,24235.06
CC10146,Travel & Lodging,2008-2010,16533.75
CC10146,Other,2008-2010,3769.16
CC10146,Contribution to Community Organization,2008-2010,1045
CC10146,Bank Charges & Adjustments,2008-2010,4356.38
CC10146,Advertising,2008-2010,96282.04
CC10146,Vehicle,2008-2010,3707.23
CC10146,Professional Services,2008-2010,84710.36
CC10146,Postage/Mailing,2008-2010,5338.75
CC10146,Office Supplies,2008-2010,2799.84
CC10146,Food & Beverages,2008-2010,21925.54
CC10146,Contribution to Political Party,2010-2012,250
CC10146,Filing Fee,2010-2012,1750
CC10146,Bank Charges & Adjustments,2010-2012,245.01
CC10146,Lease/Rent,2010-2012,1137
CC10146,Food & Beverages,2010-2012,2320.77
CC10146,Contribution to Community Organization,2010-2012,370
CC10146,Office Supplies,2010-2012,129.38
CC10146,Durable Assets,2010-2012,334.95
CC10146,Utilities,2010-2012,361.91
CC10146,Other,2010-2012,3093.21
CC10146,Postage/Mailing,2010-2012,1352
CC10146,"Surveys, Polls & Voter Lists",2010-2012,2135
CC10146,Printing,2010-2012,5041.64
CC10146,Professional Services,2010-2012,6003.54
CC10146,Advertising,2010-2012,19239.05
CC10146,Utilities,2012-2014,516.11
CC10146,Travel & Lodging,2012-2014,119.78
CC10146,"Surveys, Polls & Voter Lists",2012-2014,534.45
CC10146,Bank Charges & Adjustments,2012-2014,750.35
CC10146,Contribution to Community Organization,2012-2014,150
CC10146,Vehicle,2012-2014,270.71
CC10146,Other,2012-2014,2312.61
CC10146,Food & Beverages,2012-2014,493.51
CC10146,Printing,2012-2014,141.2
CC10146,Postage/Mailing,2012-2014,3749.27
CC10146,Lease/Rent,2012-2014,100
CC10146,Office Supplies,2012-2014,416.65
CC10146,Professional Services,2012-2014,3901.9
CC10146,Advertising,2012-2014,28837.76
CC10146,Bank Charges & Adjustments,2014-2016,1787.37
CC10146,Contribution to Political Party,2014-2016,175
