expenditure_category,election_period,amount,reg_no,id
Printing,2010-2012,4266.74,CC10945,222
Filing Fee,2010-2012,45.00,CC10945,223
Employee Services,2010-2012,6965.72,CC10945,224
Employee Services,2012-2014,1725.02,CC10945,225
Food & Beverages,2010-2012,2142.66,CC10945,226
Postage/Mailing,2010-2012,41.30,CC10945,227
Professional Services,2008-2010,100.00,CC10457,228
Vehicle,2006-2008,285.86,CC10457,229
Postage/Mailing,2006-2008,434.00,CC10457,230
Office Supplies,2006-2008,110.62,CC10457,231
Other,2008-2010,4439.28,CC10457,232
Food & Beverages,2008-2010,4014.47,CC10457,233
Bank Charges & Adjustments,2006-2008,14.25,CC10457,234
Bank Charges & Adjustments,2008-2010,5.00,CC10457,235
Professional Services,2006-2008,200.00,CC10457,236
Printing,2006-2008,8886.49,CC10457,237
Other,2006-2008,399.49,CC10457,238
Advertising,2006-2008,19943.97,CC10457,239
Other,2008-2010,0.00,CC10756,240
Advertising,2010-2012,1500.00,CC10972,241
Travel & Lodging,2010-2012,303.08,CC10929,242
Professional Services,2010-2012,34.66,CC10929,243
Printing,2010-2012,728.36,CC10929,244
Filing Fee,2010-2012,25.00,CC10929,245
Bank Charges & Adjustments,2010-2012,71.30,CC10929,246
Bank Charges & Adjustments,2012-2014,20.00,CC10929,247
Postage/Mailing,2010-2012,28.50,CC10929,248
Hawaii Election Campaign Fund,2012-2014,70.43,CC10929,249
Office Supplies,2010-2012,920.21,CC10929,250
Food & Beverages,2008-2010,90.30,CC10322,251
Filing Fee,2010-2012,25.00,CC10322,252
Contribution to Community Organization,2012-2014,100.00,CC10322,253
Postage/Mailing,2012-2014,564.00,CC10322,254
Postage/Mailing,2010-2012,40.50,CC10322,255
Postage/Mailing,2008-2010,2472.00,CC10322,256
Advertising,2008-2010,62.82,CC10322,257
Printing,2008-2010,1504.45,CC10322,258
Contribution to Political Party,2010-2012,280.00,CC10322,259
Printing,2012-2014,325.07,CC10322,260
Office Supplies,2010-2012,94.50,CC10322,261
Other,2010-2012,14.00,CC10975,262
Vehicle,2010-2012,145.86,CC10975,263
Filing Fee,2010-2012,25.00,CC10975,264
Travel & Lodging,2010-2012,60.83,CC10975,265
Bank Charges & Adjustments,2008-2010,18.71,CC10630,266
Other,2008-2010,762.44,CC10630,267
Office Supplies,2008-2010,20.00,CC10630,268
Food & Beverages,2008-2010,374.40,CC10630,269
Advertising,2008-2010,198.95,CC10630,270
Advertising,2010-2012,3661.41,CC10975,271
Filing Fee,2010-2012,25.00,CC10991,272
Contribution to Community Organization,2006-2008,150.00,CC10472,273
Filing Fee,2006-2008,250.00,CC10472,274
Candidate Fundraiser Tickets,2009-2012(D3),500.00,CC10472,275
Bank Charges & Adjustments,2009-2012(D3),53.00,CC10472,276
Other,2006-2008,634.79,CC10472,277
Office Supplies,2012-2014,75.69,CC10472,278
Bank Charges & Adjustments,2006-2008,30.98,CC10472,279
Contribution to Political Party,2009-2012(D3),185.00,CC10472,280
Durable Assets,2012-2014,732.97,CC10472,281
Travel & Lodging,2012-2014,4756.36,CC10472,282
Other,2008-2010,22.45,CC10472,283
"Surveys, Polls & Voter Lists",2006-2008,1036.70,CC10472,284
Durable Assets,2006-2008,214.07,CC10472,285
Postage/Mailing,2009-2012(D3),9834.63,CC10472,286
Office Supplies,2006-2008,82.32,CC10472,287
Travel & Lodging,2009-2012(D3),1075.44,CC10472,288
"Surveys, Polls & Voter Lists",2009-2012(D3),160.20,CC10472,289
Advertising,2009-2012(D3),358.65,CC10472,290
Office Supplies,2009-2012(D3),549.02,CC10472,291
Contribution to Community Organization,2008-2010,300.00,CC10472,292
Food & Beverages,2008-2010,100.94,CC10472,293
Durable Assets,2009-2012(D3),2560.18,CC10472,294
Lease/Rent,2009-2012(D3),1650.00,CC10472,295
"Surveys, Polls & Voter Lists",2008-2010,602.63,CC10472,296
Postage/Mailing,2008-2010,9845.70,CC10472,297
Filing Fee,2009-2012(D3),250.00,CC10472,298
Professional Services,2008-2010,15320.78,CC10472,299
Office Supplies,2008-2010,16.45,CC10472,300
Filing Fee,2008-2010,250.00,CC10472,301
Printing,2008-2010,11976.86,CC10472,302
Advertising,2008-2010,80487.70,CC10472,303
Contribution to Community Organization,2009-2012(D3),2280.61,CC10472,304
Printing,2009-2012(D3),25009.12,CC10472,305
Bank Charges & Adjustments,2008-2010,169.96,CC10472,306
Food & Beverages,2009-2012(D3),19183.34,CC10472,307
Candidate Fundraiser Tickets,2012-2014,250.00,CC10472,308
Contribution to Community Organization,2012-2014,2113.00,CC10472,309
Food & Beverages,2012-2014,11684.80,CC10472,310
Other,2012-2014,32083.80,CC10472,311
Taxes,2009-2012(D3),167.58,CC10472,312
Professional Services,2012-2014,1660.00,CC10472,313
Professional Services,2009-2012(D3),24658.83,CC10472,314
Other,2009-2012(D3),4874.75,CC10472,315
Food & Beverages,2006-2008,2211.17,CC10472,316
Printing,2006-2008,13228.57,CC10472,317
Postage/Mailing,2006-2008,11552.58,CC10472,318
Contribution to Community Organization,2006-2008,4000.00,CC10318,319
Hawaii Election Campaign Fund,2010-2012,824.40,CC10318,320
Hawaii Election Campaign Fund,2006-2008,200.00,CC10318,321
Postage/Mailing,2006-2008,81.25,CC10318,322
Bank Charges & Adjustments,2008-2010,89.37,CC10318,323
Bank Charges & Adjustments,2006-2008,38.00,CC10318,324
Bank Charges & Adjustments,2010-2012,12.00,CC10318,325
Bank Charges & Adjustments,2008-2010,18.00,CC10693,326
Bank Charges & Adjustments,2010-2012,8.00,CC10693,327
Food & Beverages,2010-2012,319.36,CC10693,328
Hawaii Election Campaign Fund,2010-2012,99.42,CC10693,329
Filing Fee,2008-2010,25.00,CC10693,330
Other,2010-2012,250.00,CC10693,331
Office Supplies,2008-2010,14.91,CC10693,332
Other,2008-2010,156.00,CC10693,333
Professional Services,2008-2010,60.00,CC10693,334
Lease/Rent,2008-2010,60.00,CC10693,335
Food & Beverages,2008-2010,545.38,CC10693,336
Advertising,2008-2010,6103.93,CC10693,337
Hawaii Election Campaign Fund,2006-2008,608.05,CC10266,338
Travel & Lodging,2006-2008,4632.42,CC10266,339
Food & Beverages,2008-2010,309.16,CC10679,340
Other,2008-2010,59.77,CC10679,341
Filing Fee,2008-2010,25.00,CC10679,342
Printing,2008-2010,806.07,CC10679,343
Candidate Fundraiser Tickets,2008-2010,192.41,CC10737,344
Bank Charges & Adjustments,2008-2010,20.50,CC10737,345
Advertising,2010-2012,74.45,CC10737,346
Postage/Mailing,2008-2010,5331.70,CC10737,347
Food & Beverages,2008-2010,2250.00,CC10737,348
Professional Services,2008-2010,700.00,CC10737,349
Office Supplies,2008-2010,164.77,CC10737,350
Advertising,2008-2010,9109.41,CC10737,351
Travel & Lodging,2008-2010,444.57,CC10737,352
Filing Fee,2008-2010,25.00,CC10737,353
Bank Charges & Adjustments,2012-2014,70.00,CC10737,354
Printing,2008-2010,2640.48,CC10737,355
Other,2010-2012,100.55,CC10737,356
Other,2008-2010,400.23,CC10737,357
Food & Beverages,2010-2012,158.68,CC10737,358
Other,2008-2010,239.59,CC10134,359
Lease/Rent,2006-2008,250.00,CC10134,360
Utilities,2006-2008,43.96,CC10134,361
Filing Fee,2006-2008,250.00,CC10134,362
Durable Assets,2006-2008,8282.61,CC10134,363
Contribution to Community Organization,2012-2014,4000.00,CC10134,364
Contribution to Community Organization,2010-2012,12500.00,CC10134,365
Contribution to Community Organization,2008-2010,782.49,CC10134,366
Food & Beverages,2008-2010,63.87,CC10134,367
Professional Services,2006-2008,5445.11,CC10134,368
Professional Services,2012-2014,825.00,CC10134,369
Postage/Mailing,2006-2008,339.00,CC10134,370
Advertising,2008-2010,1040.99,CC10134,371
Professional Services,2010-2012,3386.38,CC10134,372
Hawaii Election Campaign Fund,2006-2008,1000.00,CC10134,373
Hawaii Election Campaign Fund,2012-2014,2875.00,CC10134,374
Advertising,2006-2008,5187.36,CC10134,375
"Surveys, Polls & Voter Lists",2006-2008,444.73,CC10134,376
Other,2006-2008,3252.38,CC10134,377
Food & Beverages,2006-2008,6929.98,CC10134,378
Printing,2006-2008,18488.16,CC10134,379
Office Supplies,2006-2008,2722.50,CC10134,380
Professional Services,2008-2010,2967.26,CC10134,381
Other,2012-2014,2000.00,CC10134,382
Bank Charges & Adjustments,2006-2008,5.00,CC10134,383
Other,2010-2012,56100.00,CC10134,384
Filing Fee,2006-2008,250.00,CC10422,385
Food & Beverages,2006-2008,1138.00,CC10422,386
Postage/Mailing,2006-2008,427.48,CC10422,387
Office Supplies,2006-2008,34.65,CC10422,388
Advertising,2008-2010,1073.23,CC10422,389
Professional Services,2006-2008,6360.53,CC10422,390
Advertising,2006-2008,27969.11,CC10422,391
Travel & Lodging,2010-2012,400.39,CC10822,392
Bank Charges & Adjustments,2010-2012,25.00,CC10822,393
Contribution to Community Organization,2012-2014,155.09,CC10822,394
Office Supplies,2010-2012,27.22,CC10822,395
Lease/Rent,2010-2012,102.00,CC10822,396
Professional Services,2010-2012,4312.90,CC10822,397
Advertising,2010-2012,37221.31,CC10822,398
Postage/Mailing,2010-2012,607.46,CC10822,399
Vehicle,2006-2008,36.00,CC10375,400
Office Supplies,2008-2010,176.35,CC10375,401
Candidate Fundraiser Tickets,2010-2012,250.00,CC10375,402
Contribution to Political Party,2008-2010,50.00,CC10375,403
Professional Services,2008-2010,212.82,CC10375,404
Vehicle,2008-2010,707.81,CC10375,405
Contribution to Community Organization,2008-2010,805.96,CC10375,406
Durable Assets,2010-2012,583.24,CC10375,407
Filing Fee,2010-2012,250.00,CC10375,408
Advertising,2012-2014,264.05,CC10375,409
Other,2010-2012,637.56,CC10375,410
Contribution to Community Organization,2012-2014,331.99,CC10375,411
Contribution to Community Organization,2010-2012,430.28,CC10375,412
Lease/Rent,2010-2012,200.00,CC10375,413
"Surveys, Polls & Voter Lists",2006-2008,828.71,CC10375,414
Bank Charges & Adjustments,2006-2008,42.76,CC10375,415
Food & Beverages,2012-2014,1050.33,CC10375,416
"Surveys, Polls & Voter Lists",2008-2010,309.84,CC10375,417
Lease/Rent,2012-2014,260.91,CC10375,418
Printing,2012-2014,158.10,CC10375,419
Candidate Fundraiser Tickets,2008-2010,92.92,CC10375,420
Postage/Mailing,2010-2012,4309.17,CC10375,421
Printing,2008-2010,6302.53,CC10375,422
Office Supplies,2006-2008,310.62,CC10375,423
Food & Beverages,2008-2010,6982.78,CC10375,424
Food & Beverages,2010-2012,3521.50,CC10375,425
Contribution to Community Organization,2006-2008,50.00,CC10375,426
Other,2008-2010,4000.61,CC10375,427
Printing,2006-2008,16751.91,CC10375,428
Food & Beverages,2006-2008,5555.64,CC10375,429
Postage/Mailing,2008-2010,14146.72,CC10375,430
Postage/Mailing,2006-2008,7974.44,CC10375,431
Postage/Mailing,2012-2014,192.46,CC10375,432
Advertising,2006-2008,5170.36,CC10375,433
Advertising,2010-2012,452.35,CC10375,434
Printing,2010-2012,5222.02,CC10375,435
Advertising,2008-2010,3598.63,CC10375,436
Other,2006-2008,1170.78,CC10375,437
Travel & Lodging,2006-2008,99.60,CC10283,438
Hawaii Election Campaign Fund,2012-2014,2250.00,CC10283,439
Bank Charges & Adjustments,2008-2010,28.00,CC10283,440
Bank Charges & Adjustments,2012-2014,29.00,CC10283,441
Bank Charges & Adjustments,2010-2012,42.00,CC10283,442
Bank Charges & Adjustments,2006-2008,25.00,CC10283,443
Lease/Rent,2006-2008,492.30,CC10283,444
Professional Services,2006-2008,4000.00,CC10283,445
Postage/Mailing,2006-2008,439.53,CC10283,446
Office Supplies,2006-2008,928.76,CC10283,447
Food & Beverages,2006-2008,6029.58,CC10283,448
Professional Services,2012-2014,526.52,CC10283,449
Professional Services,2010-2012,2471.73,CC10283,450
Professional Services,2008-2010,1690.11,CC10283,451
Utilities,2010-2012,810.72,CC10283,452
Postage/Mailing,2012-2014,14.10,CC10283,453
Filing Fee,2008-2010,500.00,CC10283,454
Other,2006-2008,3201.16,CC10283,455
Advertising,2006-2008,716.75,CC10283,456
Utilities,2006-2008,312.98,CC10283,457
Printing,2006-2008,369.66,CC10283,458
Postage/Mailing,2008-2010,2954.17,CC10283,459
Candidate Fundraiser Tickets,2008-2010,207.72,CC10283,460
Contribution to Community Organization,2008-2010,880.00,CC10283,461
Insurance,2010-2012,910.10,CC10283,462
Printing,2012-2014,903.34,CC10283,463
Insurance,2008-2010,2552.96,CC10283,464
Travel & Lodging,2010-2012,1615.82,CC10283,465
Travel & Lodging,2012-2014,2590.72,CC10283,466
Durable Assets,2010-2012,5690.79,CC10283,467
Printing,2010-2012,3528.58,CC10283,468
Utilities,2008-2010,2210.05,CC10283,469
Travel & Lodging,2008-2010,1272.43,CC10283,470
"Surveys, Polls & Voter Lists",2008-2010,7044.94,CC10283,471
Office Supplies,2010-2012,881.14,CC10283,472
Lease/Rent,2010-2012,11726.38,CC10283,473
Lease/Rent,2012-2014,7713.70,CC10283,474
Lease/Rent,2008-2010,8439.68,CC10283,475
Postage/Mailing,2010-2012,4641.90,CC10283,476
Printing,2008-2010,15819.43,CC10283,477
Durable Assets,2012-2014,10935.58,CC10283,478
Advertising,2010-2012,66629.27,CC10283,479
Office Supplies,2012-2014,168.22,CC10283,480
Durable Assets,2008-2010,2225.79,CC10283,481
Advertising,2008-2010,157717.75,CC10283,482
Office Supplies,2008-2010,1581.51,CC10283,483
Contribution to Community Organization,2010-2012,495.80,CC10283,484
Food & Beverages,2008-2010,53945.29,CC10283,485
Food & Beverages,2010-2012,148291.92,CC10283,486
Other,2010-2012,47339.93,CC10283,487
Advertising,2012-2014,24944.54,CC10283,488
Food & Beverages,2012-2014,27011.98,CC10283,489
Other,2012-2014,29930.08,CC10283,490
Other,2008-2010,34524.31,CC10283,491
Hawaii Election Campaign Fund,2010-2012,70.00,CC10878,492
Other,2010-2012,77.60,CC10878,493
Printing,2010-2012,2726.48,CC10878,494
Office Supplies,2010-2012,84.31,CC10878,495
Other,2012-2014,1797.60,CC10878,496
Advertising,2008-2010,373.62,CC10790,497
Bank Charges & Adjustments,2010-2012,1.50,CC10812,498
Advertising,2012-2014,374.40,CC10812,499
Postage/Mailing,2010-2012,1022.00,CC10812,500
Contribution to Community Organization,2010-2012,50.00,CC10812,501
Professional Services,2010-2012,1536.95,CC10812,502
Lease/Rent,2012-2014,1250.00,CC10812,503
Advertising,2010-2012,39859.43,CC10812,504
Office Supplies,2010-2012,707.10,CC10812,505
Lease/Rent,2010-2012,21657.19,CC10812,506
Candidate Fundraiser Tickets,2010-2012,79.87,CC10812,507
"Surveys, Polls & Voter Lists",2010-2012,1566.21,CC10812,508
Printing,2010-2012,28963.95,CC10812,509
Food & Beverages,2010-2012,16214.23,CC10812,510
Other,2010-2012,5901.53,CC10812,511
Utilities,2010-2012,530.42,CC10812,512
Other,2008-2010,16.66,CC10308,513
Contribution to Political Party,2008-2010,50.00,CC10308,514
Bank Charges & Adjustments,2008-2010,10.00,CC10308,515
Food & Beverages,2008-2010,189.15,CC10308,516
Postage/Mailing,2008-2010,3251.09,CC10308,517
Printing,2008-2010,649.47,CC10308,518
Advertising,2008-2010,5742.29,CC10308,519
"Surveys, Polls & Voter Lists",2010-2012,250.00,CC10893,520
Office Supplies,2012-2014,61.85,CC10893,521
Advertising,2012-2014,450.30,CC10893,522
"Surveys, Polls & Voter Lists",2012-2014,356.01,CC10893,523
Printing,2010-2012,4115.57,CC10893,524
Postage/Mailing,2010-2012,4059.13,CC10893,525
Vehicle,2010-2012,58.50,CC10893,526
Other,2010-2012,212.00,CC10893,527
Office Supplies,2010-2012,30.07,CC10893,528
Advertising,2010-2012,3079.18,CC10893,529
Filing Fee,2010-2012,250.00,CC10893,530
Professional Services,2010-2012,1142.14,CC10893,531
Food & Beverages,2010-2012,2936.91,CC10893,532
Lease/Rent,2010-2012,47.00,CC10893,533
Printing,2012-2014,252.00,CC10893,534
Bank Charges & Adjustments,2012-2014,30.54,CC10893,535
Durable Assets,2012-2014,1595.69,CC10893,536
Postage/Mailing,2012-2014,187.40,CC10893,537
Vehicle,2012-2014,59.75,CC10893,538
Food & Beverages,2012-2014,1528.92,CC10893,539
Other,2012-2014,824.01,CC10893,540
Bank Charges & Adjustments,2010-2012,158.87,CC10893,541
Contribution to Community Organization,2008-2010,200.00,CC10346,542
Food & Beverages,2008-2010,904.08,CC10346,543
Other,2008-2010,231.46,CC10346,544
Durable Assets,2010-2012,1202.03,CC10346,545
Postage/Mailing,2010-2012,2668.51,CC10346,546
Hawaii Election Campaign Fund,2012-2014,2000.00,CC11000,547
Office Supplies,2006-2008,139.28,CC10346,548
