Reg No,Expenditure Category,Election Period,Amount
CC10137,"Bank Charges, Merchant Fees & Adjustments",2012-2014,60.00
CC10137,Other,2012-2014,5524.32
CC10137,Office Supplies,2012-2014,354.30
CC10137,"Printing, Postage, Mailing & Freight",2014-2016,9470.16
CC10137,Donations,2014-2016,159.00
CC10137,"Vehicle, Gas & Parking",2014-2016,3732.16
CC10137,"Filing Fee, Escheat, Fine",2014-2016,250.00
CC10137,Postage/Mailing,2014-2016,5651.41
CC10137,Other,2014-2016,7865.73
CC10137,"Advertising, Media & Collateral Materials",2014-2016,20606.20
CC10137,Food & Beverages,2014-2016,3821.30
CC10137,Office Supplies,2014-2016,937.73
CC10137,"Contract, Employee & Professional Services",2014-2016,8026.71
CC10137,Other,2016-2018,7765.64
CC10137,Campaign Headquarters,2016-2018,263.35
CC10137,"Vehicle, Gas & Parking",2016-2018,5195.15
CC10137,Donations,2016-2018,2220.00
CC10137,"Advertising, Media & Collateral Materials",2016-2018,18758.68
CC10137,Postage/Mailing,2016-2018,4195.00
CC10137,"Contract, Employee & Professional Services",2016-2018,10502.61
CC10137,Office Supplies,2016-2018,190.58
CC10137,"Printing, Postage, Mailing & Freight",2016-2018,11329.10
CC10137,Food & Beverages,2016-2018,11115.36
CC10137,Membership & Subscription Fees,2016-2018,35.00
CC10137,Postage/Mailing,2018-2020,235.00
CC10137,"Advertising, Media & Collateral Materials",2018-2020,13180.87
CC10137,Refund,2018-2020,83.52
CC10137,Other,2018-2020,3065.00
CC10137,Food & Beverages,2018-2020,7999.06
CC10137,Donations,2018-2020,1960.00
CC10137,"Contract, Employee & Professional Services",2018-2020,11879.21
CC10137,"Vehicle, Gas & Parking",2018-2020,4119.68
CC10137,"Printing, Postage, Mailing & Freight",2018-2020,390.00
CC10137,Membership & Subscription Fees,2018-2020,60.00
CC10137,Events & Activities,2018-2020,170.00
CC10137,"Filing Fee, Escheat, Fine",2018-2020,288.88
CC10137,Membership & Subscription Fees,2020-2022,982.36
CC10137,"Contract, Employee & Professional Services",2020-2022,1675.39
CC10137,"Printing, Postage, Mailing & Freight",2020-2022,176.00
CC10137,Donations,2020-2022,650.00
CC10137,Food & Beverages,2020-2022,187.82
CC10137,"Vehicle, Gas & Parking",2020-2022,227.14
CC10138,Food & Beverages,2010-2012,108077.02
CC10138,Durable Assets (Supplies/Equipment),2010-2012,2020.14
CC10138,"Printing, Postage, Mailing & Freight",2010-2012,98160.15
CC10138,Insurance,2010-2012,4227.28
CC10138,Campaign Headquarters,2010-2012,32019.70
CC10138,Taxes & Insurance,2010-2012,25.50
CC10138,Postage/Mailing,2010-2012,20388.79
CC10138,Travel & Lodging,2010-2012,3224.03
CC10138,"Filing Fee, Escheat, Fine",2010-2012,1000.00
CC10138,Other,2010-2012,41317.10
CC10138,Employee Services,2010-2012,44940.37
CC10138,"Bank Charges, Merchant Fees & Adjustments",2010-2012,5889.23
CC10138,Office Supplies,2010-2012,3041.63
CC10138,Contribution to Political Party,2010-2012,500.00
CC10138,Utilities,2010-2012,7962.11
CC10138,"Advertising, Media & Collateral Materials",2010-2012,677535.00
CC10138,"Contract, Employee & Professional Services",2010-2012,192830.30
CC10138,"Surveys, Polls, Research & Voter Lists",2010-2012,64494.66
CC10138,Utilities,2012-2016,159.84
CC10138,Postage/Mailing,2012-2016,284.92
CC10138,Other,2012-2016,87.88
CC10138,"Contract, Employee & Professional Services",2012-2016,1112.27
CC10138,Donations,2012-2016,2025.00
CC10138,"Bank Charges, Merchant Fees & Adjustments",2012-2016,153.88
CC10140,Durable Assets (Supplies/Equipment),2004-2008,5182.23
CC10140,Food & Beverages,2004-2008,7565.73
CC10140,"Bank Charges, Merchant Fees & Adjustments",2004-2008,4847.33
CC10140,"Contract, Employee & Professional Services",2004-2008,41083.60
CC10140,Other,2004-2008,2242.42
CC10140,Hawaii Election Campaign Fund,2004-2008,50.00
CC10140,Travel & Lodging,2004-2008,2828.32
CC10140,"Vehicle, Gas & Parking",2004-2008,282.16
CC10140,Campaign Headquarters,2004-2008,132.00
CC10140,"Printing, Postage, Mailing & Freight",2004-2008,4239.36
CC10140,"Advertising, Media & Collateral Materials",2004-2008,1884.58
CC10140,"Filing Fee, Escheat, Fine",2004-2008,258.00
CC10140,Postage/Mailing,2004-2008,765.26
CC10140,Utilities,2004-2008,1982.74
CC10140,Office Supplies,2004-2008,6105.77
CC10140,Postage/Mailing,2008-2012,4073.42
CC10140,Office Supplies,2008-2012,4671.46
CC10140,"Advertising, Media & Collateral Materials",2008-2012,2277.17
CC10140,"Filing Fee, Escheat, Fine",2008-2012,258.00
CC10140,"Printing, Postage, Mailing & Freight",2008-2012,11755.36
CC10140,Campaign Headquarters,2008-2012,404.00
CC10140,Durable Assets (Supplies/Equipment),2008-2012,8332.74
CC10140,Utilities,2008-2012,11640.67
CC10140,Other,2008-2012,5565.83
CC10140,"Bank Charges, Merchant Fees & Adjustments",2008-2012,96.39
CC10140,Contribution to Political Party,2008-2012,325.00
CC10140,Food & Beverages,2008-2012,14166.33
CC10140,"Contract, Employee & Professional Services",2008-2012,40220.85
CC10140,"Surveys, Polls, Research & Voter Lists",2008-2012,351.04
CC10140,Donations,2008-2012,450.00
CC10140,Travel & Lodging,2008-2012,6165.42
CC10140,Other,2012-2014,216.24
CC10140,Campaign Headquarters,2012-2014,350.00
CC10140,Hawaii Election Campaign Fund,2012-2014,150.00
CC10140,Office Supplies,2012-2014,1845.54
CC10140,Utilities,2012-2014,4167.85
CC10140,"Contract, Employee & Professional Services",2012-2014,53500.00
CC10140,"Printing, Postage, Mailing & Freight",2012-2014,1187.64
CC10140,Durable Assets (Supplies/Equipment),2012-2014,1812.49
CC10140,Travel & Lodging,2012-2014,1161.15
CC10140,Donations,2012-2014,300.00
CC10140,Candidate Fundraiser Tickets,2012-2014,1000.00
CC10140,"Advertising, Media & Collateral Materials",2012-2014,478.24
CC10140,Food & Beverages,2012-2014,10673.70
CC10140,"Filing Fee, Escheat, Fine",2012-2014,250.00
CC10140,Durable Assets (Supplies/Equipment),2014-2018,8489.77
CC10140,Travel & Lodging,2014-2018,20338.93
CC10140,Utilities,2014-2018,12618.17
CC10140,"Advertising, Media & Collateral Materials",2014-2018,4098.11
CC10140,"Printing, Postage, Mailing & Freight",2014-2018,111.46
CC10140,Other,2014-2018,7597.55
CC10140,Candidate Fundraiser Tickets,2014-2018,4750.00
CC10140,"Filing Fee, Escheat, Fine",2014-2018,401.16
CC10140,Donations,2014-2018,1000.00
CC10140,"Contract, Employee & Professional Services",2014-2018,37147.50
CC10140,"Bank Charges, Merchant Fees & Adjustments",2014-2018,1022.24
CC10140,Food & Beverages,2014-2018,20728.64
CC10140,Taxes & Insurance,2014-2018,28.04
CC10140,Contribution to Political Party,2014-2018,525.00
CC10140,Office Supplies,2014-2018,3854.20
CC10140,Campaign Headquarters,2014-2018,4362.66
CC10140,Utilities,2018-2022,4124.17
CC10140,Office Supplies,2018-2022,7320.14
CC10140,Taxes & Insurance,2018-2022,134.37
CC10140,"Bank Charges, Merchant Fees & Adjustments",2018-2022,252.16
CC10140,Membership & Subscription Fees,2018-2022,597.41
CC10140,Other,2018-2022,1490.48
CC10140,"Advertising, Media & Collateral Materials",2018-2022,607.38
CC10140,Campaign Headquarters,2018-2022,726.37
CC10140,"Contract, Employee & Professional Services",2018-2022,3915.00
CC10140,Travel & Lodging,2018-2022,7811.44
CC10140,Events & Activities,2018-2022,1000.00
CC10140,Durable Assets (Supplies/Equipment),2018-2022,1925.00
CC10140,Conference Fees,2018-2022,20.00
CC10140,Food & Beverages,2018-2022,6803.12
CC10140,Candidate Fundraiser Tickets,2018-2022,8000.00
CC10140,"Surveys, Polls, Research & Voter Lists",2018-2022,434.97
CC10141,Donations,2004-2008,925.41
CC10142,"Vehicle, Gas & Parking",2004-2008,44.50
CC10142,Campaign Headquarters,2004-2008,156.03
CC10142,"Filing Fee, Escheat, Fine",2004-2008,250.00
CC10142,"Advertising, Media & Collateral Materials",2004-2008,15362.41
CC10142,Donations,2004-2008,525.00
CC10142,Postage/Mailing,2004-2008,1163.67
CC10142,Food & Beverages,2004-2008,9050.65
CC10142,Contribution to Political Party,2004-2008,2500.00
CC10142,Other,2004-2008,4789.78
CC10142,"Bank Charges, Merchant Fees & Adjustments",2004-2008,48.00
CC10142,"Contract, Employee & Professional Services",2004-2008,12721.70
CC10142,"Printing, Postage, Mailing & Freight",2004-2008,1109.33
CC10142,Office Supplies,2004-2008,538.23
CC10142,"Advertising, Media & Collateral Materials",2008-2012,309.42
CC10142,Candidate Fundraiser Tickets,2008-2012,200.00
CC10142,Campaign Headquarters,2008-2012,116.00
CC10142,Contribution to Political Party,2008-2012,5185.00
CC10142,Donations,2008-2012,6629.28
CC10142,"Vehicle, Gas & Parking",2008-2012,119.20
CC10142,Other,2008-2012,17234.18
CC10142,Office Supplies,2008-2012,315.81
CC10142,Food & Beverages,2008-2012,2158.55
CC10142,Hawaii Election Campaign Fund,2012-2016,788.26
CC10142,"Bank Charges, Merchant Fees & Adjustments",2012-2016,20.00
CC10143,"Bank Charges, Merchant Fees & Adjustments",2004-2008,419.64
CC10143,Candidate Fundraiser Tickets,2004-2008,5853.39
CC10143,Other,2004-2008,8133.28
CC10143,"Contract, Employee & Professional Services",2004-2008,26121.46
CC10143,Food & Beverages,2004-2008,5839.53
CC10143,Contribution to Political Party,2004-2008,2500.00
CC10143,Durable Assets (Supplies/Equipment),2004-2008,8594.88
CC10143,"Printing, Postage, Mailing & Freight",2004-2008,10330.72
CC10143,Office Supplies,2004-2008,3038.43
CC10143,Campaign Headquarters,2004-2008,600.00
CC10143,Postage/Mailing,2004-2008,9778.88
CC10143,"Surveys, Polls, Research & Voter Lists",2004-2008,279.25
CC10143,Hawaii Election Campaign Fund,2004-2008,1250.10
CC10143,"Advertising, Media & Collateral Materials",2004-2008,47098.60
CC10143,"Bank Charges, Merchant Fees & Adjustments",2008-2012,57.50
CC10143,Campaign Headquarters,2008-2012,16327.40
CC10143,"Printing, Postage, Mailing & Freight",2008-2012,2592.93
CC10143,"Surveys, Polls, Research & Voter Lists",2008-2012,31863.77
CC10143,Postage/Mailing,2008-2012,2030.60
CC10143,Travel & Lodging,2008-2012,66.15
CC10143,Food & Beverages,2008-2012,4029.21
CC10143,Contribution to Political Party,2008-2012,39000.00
CC10143,Donations,2008-2012,2000.00
CC10143,"Contract, Employee & Professional Services",2008-2012,68255.17
CC10143,Other,2008-2012,109839.76
CC10143,"Advertising, Media & Collateral Materials",2008-2012,8204.73
CC10143,Office Supplies,2008-2012,554.01
CC10144,Other,2004-2008,1417.33
CC10144,"Filing Fee, Escheat, Fine",2004-2008,250.00
CC10144,Donations,2004-2008,450.00
CC10144,Contribution to Political Party,2004-2008,410.00
CC10144,Office Supplies,2004-2008,6048.88
CC10144,"Printing, Postage, Mailing & Freight",2004-2008,11436.22
CC10144,Employee Services,2004-2008,1500.00
CC10144,Campaign Headquarters,2004-2008,928.27
CC10144,Postage/Mailing,2004-2008,11171.32
CC10144,Durable Assets (Supplies/Equipment),2004-2008,2196.75
CC10144,Food & Beverages,2004-2008,8107.21
CC10144,"Advertising, Media & Collateral Materials",2004-2008,6058.43
CC10144,Durable Assets (Supplies/Equipment),2008-2012,230.34
CC10144,Food & Beverages,2008-2012,41385.85
CC10144,Donations,2008-2012,1758.30
CC10144,Campaign Headquarters,2008-2012,52.35
CC10144,Hawaii Election Campaign Fund,2008-2012,4000.00
CC10144,"Contract, Employee & Professional Services",2008-2012,7133.45
CC10144,"Vehicle, Gas & Parking",2008-2012,315.38
CC10144,Candidate Fundraiser Tickets,2008-2012,800.00
CC10144,"Filing Fee, Escheat, Fine",2008-2012,103.15
CC10144,"Printing, Postage, Mailing & Freight",2008-2012,12995.66
CC10144,Utilities,2008-2012,25.90
CC10144,Other,2008-2012,7411.80
CC10144,"Advertising, Media & Collateral Materials",2008-2012,49872.91
CC10144,Office Supplies,2008-2012,3248.14
CC10144,Postage/Mailing,2008-2012,17032.54
CC10144,Food & Beverages,2012-2014,27945.74
CC10144,Utilities,2012-2014,2115.37
CC10144,"Surveys, Polls, Research & Voter Lists",2012-2014,22870.09
CC10144,Travel & Lodging,2012-2014,52.00
CC10144,Campaign Headquarters,2012-2014,1387.12
CC10144,Candidate Fundraiser Tickets,2012-2014,1600.00
