expenditure_category,election_period,amount,reg_no,id
Contribution to Community Organization,2006-2008,710.76,CC10136,214
Filing Fee,2008-2010,750,CC10136,215
Lease/Rent,2008-2010,1077.26,CC10136,216
Office Supplies,2008-2010,366.21,CC10136,217
Postage/Mailing,2008-2010,971.36,CC10136,218
Printing,2008-2010,50940.34,CC10136,219
Travel & Lodging,2008-2010,4903.39,CC10136,220
"Surveys, Polls & Voter Lists",2008-2010,5130.89,CC10136,221
Contribution to Community Organization,2008-2010,1416,CC10136,222
Food & Beverages,2008-2010,14039.96,CC10136,223
Other,2008-2010,7974.75,CC10136,224
Advertising,2008-2010,255780.24,CC10136,225
Professional Services,2008-2010,110346.5,CC10136,226
Bank Charges & Adjustments,2010-2012,90,CC10136,227
Other,2010-2012,300,CC10136,228
Lease/Rent,2010-2012,116,CC10136,229
Bank Charges & Adjustments,2012-2014,105,CC10136,230
Advertising,2012-2014,15,CC10136,231
Food & Beverages,2014-2016,4057.64,CC10136,232
Lease/Rent,2014-2016,200,CC10136,233
Lease/Rent,2016-2018,100,CC10136,234
Filing Fee,2006-2008,250,CC10137,235
Professional Services,2006-2008,11308.89,CC10137,236
Contribution to Political Party,2006-2008,250,CC10137,237
Candidate Fundraiser Tickets,2006-2008,4000,CC10137,238
Contribution to Community Organization,2006-2008,1550,CC10137,239
Insurance,2006-2008,1508,CC10137,240
Durable Assets,2006-2008,35157.2,CC10137,241
Printing,2006-2008,12404.33,CC10137,242
Bank Charges & Adjustments,2006-2008,513,CC10137,243
Postage/Mailing,2006-2008,32285.49,CC10137,244
Food & Beverages,2006-2008,13481.7,CC10137,245
Vehicle,2006-2008,7206.09,CC10137,246
Other,2006-2008,13325.5,CC10137,247
Advertising,2006-2008,20582.5,CC10137,248
Office Supplies,2006-2008,1316.47,CC10137,249
Candidate Fundraiser Tickets,2008-2010,170,CC10137,250
Printing,2008-2010,10437.83,CC10137,251
Postage/Mailing,2008-2010,23792.69,CC10137,252
Contribution to Community Organization,2008-2010,2980,CC10137,253
Bank Charges & Adjustments,2008-2010,490,CC10137,254
Food & Beverages,2008-2010,7181.06,CC10137,255
Vehicle,2008-2010,6834.9,CC10137,256
Office Supplies,2008-2010,1707.68,CC10137,257
Other,2008-2010,7352.9,CC10137,258
Advertising,2008-2010,3151.19,CC10137,259
Professional Services,2008-2010,10468.85,CC10137,260
Printing,2010-2012,6326.48,CC10137,261
Postage/Mailing,2010-2012,11430.57,CC10137,262
Bank Charges & Adjustments,2010-2012,276.52,CC10137,263
Vehicle,2010-2012,7131.09,CC10137,264
Contribution to Community Organization,2010-2012,490,CC10137,265
Travel & Lodging,2010-2012,33,CC10137,266
Advertising,2010-2012,20749.9,CC10137,267
Professional Services,2010-2012,8769.41,CC10137,268
Office Supplies,2010-2012,1144.92,CC10137,269
Food & Beverages,2010-2012,6408.13,CC10137,270
Other,2010-2012,5850.83,CC10137,271
Filing Fee,2012-2014,250,CC10137,272
Postage/Mailing,2012-2014,4325.65,CC10137,273
Printing,2012-2014,3853.58,CC10137,274
Contribution to Community Organization,2012-2014,1499.37,CC10137,275
Bank Charges & Adjustments,2012-2014,60,CC10137,276
Other,2012-2014,5524.32,CC10137,277
Office Supplies,2012-2014,354.3,CC10137,278
Advertising,2012-2014,2409.82,CC10137,279
Vehicle,2012-2014,7578.91,CC10137,280
Food & Beverages,2012-2014,3078.44,CC10137,281
Professional Services,2012-2014,20063.35,CC10137,282
Filing Fee,2014-2016,250,CC10137,283
Lease/Rent,2014-2016,128,CC10137,284
Contribution to Community Organization,2014-2016,159,CC10137,285
Professional Services,2014-2016,8026.71,CC10137,286
Postage/Mailing,2014-2016,5523.41,CC10137,287
Printing,2014-2016,9470.16,CC10137,288
Vehicle,2014-2016,3732.16,CC10137,289
Other,2014-2016,7705.74,CC10137,290
Food & Beverages,2014-2016,3821.3,CC10137,291
Office Supplies,2014-2016,937.73,CC10137,292
Advertising,2014-2016,20606.2,CC10137,293
Professional Services,2016-2018,3047.12,CC10137,294
Postage/Mailing,2016-2018,1559,CC10137,295
Printing,2016-2018,1157.07,CC10137,296
Civic or Community Group Membership,2016-2018,35,CC10137,297
Contribution to Community Organization,2016-2018,2000,CC10137,298
Other,2016-2018,475,CC10137,299
Vehicle,2016-2018,1045.11,CC10137,300
Food & Beverages,2016-2018,1527.1,CC10137,301
Advertising,2016-2018,620,CC10137,302
Filing Fee,2008-2010,500,CC10138,303
Contribution to Political Party,2008-2010,500,CC10138,304
Utilities,2008-2010,1331.94,CC10138,305
Advertising,2008-2010,359210.91,CC10138,306
Bank Charges & Adjustments,2008-2010,2650.36,CC10138,307
"Surveys, Polls & Voter Lists",2008-2010,250,CC10138,308
Lease/Rent,2008-2010,11784.14,CC10138,309
Insurance,2008-2010,1980.42,CC10138,310
Durable Assets,2008-2010,523.55,CC10138,311
Professional Services,2008-2010,40749.56,CC10138,312
Food & Beverages,2008-2010,13781.3,CC10138,313
Postage/Mailing,2008-2010,16829.42,CC10138,314
Printing,2008-2010,51385.02,CC10138,315
Other,2008-2010,17221.13,CC10138,316
Office Supplies,2008-2010,1805.2,CC10138,317
Taxes,2010-2012,25.5,CC10138,318
Durable Assets,2010-2012,1496.59,CC10138,319
Filing Fee,2010-2012,500,CC10138,320
Employee Services,2010-2012,44940.37,CC10138,321
Insurance,2010-2012,2246.86,CC10138,322
Bank Charges & Adjustments,2010-2012,3238.87,CC10138,323
Utilities,2010-2012,6630.17,CC10138,324
Travel & Lodging,2010-2012,3224.03,CC10138,325
"Surveys, Polls & Voter Lists",2010-2012,64244.66,CC10138,326
Advertising,2010-2012,318324.09,CC10138,327
Lease/Rent,2010-2012,20235.56,CC10138,328
Postage/Mailing,2010-2012,3559.37,CC10138,329
Food & Beverages,2010-2012,94295.72,CC10138,330
Office Supplies,2010-2012,1236.43,CC10138,331
Professional Services,2010-2012,152080.74,CC10138,332
Printing,2010-2012,46775.13,CC10138,333
Other,2010-2012,24095.97,CC10138,334
Postage/Mailing,2012-2014,284.92,CC10138,335
Other,2012-2014,87.88,CC10138,336
Contribution to Community Organization,2012-2014,2025,CC10138,337
Utilities,2012-2014,159.84,CC10138,338
Professional Services,2012-2014,1112.27,CC10138,339
Bank Charges & Adjustments,2012-2014,153.88,CC10138,340
Hawaii Election Campaign Fund,2006-2008,50,CC10140,341
Vehicle,2006-2008,282.16,CC10140,342
Bank Charges & Adjustments,2006-2008,4847.33,CC10140,343
Filing Fee,2006-2008,258,CC10140,344
Professional Services,2006-2008,41083.6,CC10140,345
Other,2006-2008,2242.42,CC10140,346
Durable Assets,2006-2008,5182.23,CC10140,347
Utilities,2006-2008,1982.74,CC10140,348
Printing,2006-2008,4239.36,CC10140,349
Advertising,2006-2008,1884.58,CC10140,350
Postage/Mailing,2006-2008,765.26,CC10140,351
Lease/Rent,2006-2008,132,CC10140,352
Food & Beverages,2006-2008,7565.73,CC10140,353
Office Supplies,2006-2008,6105.77,CC10140,354
Travel & Lodging,2006-2008,2828.32,CC10140,355
Printing,2008-2010,1551.47,CC10140,356
Lease/Rent,2008-2010,198,CC10140,357
Professional Services,2008-2010,16520.85,CC10140,358
Office Supplies,2008-2010,654.63,CC10140,359
Other,2008-2010,206.24,CC10140,360
Utilities,2008-2010,6553.3,CC10140,361
Advertising,2008-2010,857.5,CC10140,362
Contribution to Community Organization,2008-2010,200,CC10140,363
Food & Beverages,2008-2010,2024.06,CC10140,364
Durable Assets,2008-2010,645.33,CC10140,365
Travel & Lodging,2008-2010,2026.06,CC10140,366
"Surveys, Polls & Voter Lists",2010-2012,351.04,CC10140,367
Contribution to Political Party,2010-2012,325,CC10140,368
Bank Charges & Adjustments,2010-2012,96.39,CC10140,369
Postage/Mailing,2010-2012,4073.42,CC10140,370
Durable Assets,2010-2012,7687.41,CC10140,371
Utilities,2010-2012,5087.37,CC10140,372
Advertising,2010-2012,1419.67,CC10140,373
Filing Fee,2010-2012,258,CC10140,374
Lease/Rent,2010-2012,206,CC10140,375
Printing,2010-2012,10203.89,CC10140,376
Travel & Lodging,2010-2012,4139.36,CC10140,377
Office Supplies,2010-2012,4016.83,CC10140,378
Other,2010-2012,5359.59,CC10140,379
Contribution to Community Organization,2010-2012,250,CC10140,380
Professional Services,2010-2012,23700,CC10140,381
Food & Beverages,2010-2012,12142.27,CC10140,382
Travel & Lodging,2012-2014,1161.15,CC10140,383
Lease/Rent,2012-2014,350,CC10140,384
Hawaii Election Campaign Fund,2012-2014,150,CC10140,385
Professional Services,2012-2014,53500,CC10140,386
Advertising,2012-2014,478.24,CC10140,387
Other,2012-2014,216.24,CC10140,388
Printing,2012-2014,1187.64,CC10140,389
Durable Assets,2012-2014,1812.49,CC10140,390
Utilities,2012-2014,4167.85,CC10140,391
Filing Fee,2012-2014,250,CC10140,392
Candidate Fundraiser Tickets,2012-2014,1000,CC10140,393
Food & Beverages,2012-2014,10673.7,CC10140,394
Office Supplies,2012-2014,1845.54,CC10140,395
Contribution to Community Organization,2012-2014,300,CC10140,396
Printing,2014-2016,111.46,CC10140,397
Lease/Rent,2014-2016,501.2,CC10140,398
Bank Charges & Adjustments,2014-2016,536.78,CC10140,399
Other,2014-2016,436.76,CC10140,400
Professional Services,2014-2016,32000,CC10140,401
Taxes,2014-2016,28.04,CC10140,402
Utilities,2014-2016,5150.68,CC10140,403
Contribution to Political Party,2014-2016,500,CC10140,404
Travel & Lodging,2014-2016,15258.69,CC10140,405
Contribution to Community Organization,2014-2016,1000,CC10140,406
Food & Beverages,2014-2016,9437.84,CC10140,407
Office Supplies,2014-2016,2140.22,CC10140,408
Other,2016-2018,2030,CC10140,409
Lease/Rent,2016-2018,3397.14,CC10140,410
Travel & Lodging,2016-2018,909.41,CC10140,411
Durable Assets,2016-2018,1820.8,CC10140,412
Food & Beverages,2016-2018,1494.05,CC10140,413
Utilities,2016-2018,2049.92,CC10140,414
Contribution to Community Organization,2006-2008,925.41,CC10141,415
Filing Fee,2006-2008,250,CC10142,416
Lease/Rent,2006-2008,156.03,CC10142,417
Vehicle,2006-2008,44.5,CC10142,418
Bank Charges & Adjustments,2006-2008,48,CC10142,419
Contribution to Political Party,2006-2008,2500,CC10142,420
Contribution to Community Organization,2006-2008,525,CC10142,421
Printing,2006-2008,1109.33,CC10142,422
Office Supplies,2006-2008,538.23,CC10142,423
Advertising,2006-2008,15362.41,CC10142,424
Professional Services,2006-2008,12721.7,CC10142,425
Postage/Mailing,2006-2008,1163.67,CC10142,426
Other,2006-2008,4789.78,CC10142,427
Food & Beverages,2006-2008,9050.65,CC10142,428
Advertising,2008-2010,309.42,CC10142,429
Lease/Rent,2008-2010,116,CC10142,430
Other,2008-2010,89.34,CC10142,431
Office Supplies,2008-2010,247.47,CC10142,432
Food & Beverages,2008-2010,967.61,CC10142,433
Vehicle,2008-2010,8,CC10142,434
Contribution to Community Organization,2008-2010,1475.05,CC10142,435
Contribution to Political Party,2010-2012,5185,CC10142,436
Candidate Fundraiser Tickets,2010-2012,200,CC10142,437
Office Supplies,2010-2012,68.34,CC10142,438
Contribution to Community Organization,2010-2012,5154.23,CC10142,439
Vehicle,2010-2012,111.2,CC10142,440
Food & Beverages,2010-2012,1190.94,CC10142,441
Other,2010-2012,17144.84,CC10142,442
Bank Charges & Adjustments,2012-2014,20,CC10142,443
Hawaii Election Campaign Fund,2012-2014,788.26,CC10142,444
"Surveys, Polls & Voter Lists",2006-2008,279.25,CC10143,445
Durable Assets,2006-2008,8594.88,CC10143,446
Bank Charges & Adjustments,2006-2008,419.64,CC10143,447
Lease/Rent,2006-2008,600,CC10143,448
Office Supplies,2006-2008,3038.43,CC10143,449
Candidate Fundraiser Tickets,2006-2008,5853.39,CC10143,450
Postage/Mailing,2006-2008,9778.88,CC10143,451
Printing,2006-2008,10330.72,CC10143,452
Advertising,2006-2008,47098.6,CC10143,453
Professional Services,2006-2008,26121.46,CC10143,454
Contribution to Political Party,2006-2008,2500,CC10143,455
Other,2006-2008,8133.28,CC10143,456
Food & Beverages,2006-2008,5839.53,CC10143,457
Hawaii Election Campaign Fund,2006-2008,1250.1,CC10143,458
Bank Charges & Adjustments,2008-2010,57.5,CC10143,459
Lease/Rent,2008-2010,16327.4,CC10143,460
Travel & Lodging,2008-2010,66.15,CC10143,461
Advertising,2008-2010,8204.73,CC10143,462
"Surveys, Polls & Voter Lists",2008-2010,31863.77,CC10143,463
Office Supplies,2008-2010,554.01,CC10143,464
Printing,2008-2010,2592.93,CC10143,465
Postage/Mailing,2008-2010,2030.6,CC10143,466
Contribution to Political Party,2008-2010,25000,CC10143,467
Professional Services,2008-2010,57688.09,CC10143,468
Food & Beverages,2008-2010,4029.21,CC10143,469
Other,2008-2010,8304.02,CC10143,470
Contribution to Political Party,2010-2012,14000,CC10143,471
Other,2010-2012,101535.74,CC10143,472
Professional Services,2010-2012,10567.08,CC10143,473
Contribution to Community Organization,2010-2012,2000,CC10143,474
Lease/Rent,2006-2008,928.27,CC10144,475
Employee Services,2006-2008,1500,CC10144,476
Filing Fee,2006-2008,250,CC10144,477
Contribution to Community Organization,2006-2008,450,CC10144,478
Office Supplies,2006-2008,6048.88,CC10144,479
Contribution to Political Party,2006-2008,410,CC10144,480
Advertising,2006-2008,6058.43,CC10144,481
Other,2006-2008,1417.33,CC10144,482
Printing,2006-2008,11436.22,CC10144,483
Postage/Mailing,2006-2008,11171.32,CC10144,484
Durable Assets,2006-2008,2196.75,CC10144,485
Food & Beverages,2006-2008,8107.21,CC10144,486
Postage/Mailing,2008-2010,444,CC10144,487
Durable Assets,2008-2010,230.34,CC10144,488
Candidate Fundraiser Tickets,2008-2010,400,CC10144,489
Filing Fee,2008-2010,56.94,CC10144,490
Office Supplies,2008-2010,1594.89,CC10144,491
Advertising,2008-2010,1043.76,CC10144,492
Contribution to Community Organization,2008-2010,945,CC10144,493
Utilities,2008-2010,25.9,CC10144,494
Professional Services,2008-2010,5739.45,CC10144,495
Other,2008-2010,1393.91,CC10144,496
Food & Beverages,2008-2010,9472.93,CC10144,497
Lease/Rent,2010-2012,52.35,CC10144,498
Filing Fee,2010-2012,46.21,CC10144,499
Vehicle,2010-2012,315.38,CC10144,500
Candidate Fundraiser Tickets,2010-2012,400,CC10144,501
Postage/Mailing,2010-2012,16588.54,CC10144,502
Contribution to Community Organization,2010-2012,813.3,CC10144,503
Professional Services,2010-2012,1394,CC10144,504
Other,2010-2012,6017.89,CC10144,505
Advertising,2010-2012,48829.15,CC10144,506
Food & Beverages,2010-2012,31912.92,CC10144,507
Printing,2010-2012,12995.66,CC10144,508
Office Supplies,2010-2012,1653.25,CC10144,509
Hawaii Election Campaign Fund,2010-2012,4000,CC10144,510
Travel & Lodging,2012-2014,52,CC10144,511
Bank Charges & Adjustments,2012-2014,1204.22,CC10144,512
Filing Fee,2012-2014,750,CC10144,513
Lease/Rent,2012-2014,1387.12,CC10144,514
Insurance,2012-2014,525,CC10144,515
Employee Services,2012-2014,6000,CC10144,516
Candidate Fundraiser Tickets,2012-2014,1600,CC10144,517
Contribution to Community Organization,2012-2014,1535,CC10144,518
Contribution to Political Party,2012-2014,5000,CC10144,519
Vehicle,2012-2014,375.09,CC10144,520
Utilities,2012-2014,2115.37,CC10144,521
Durable Assets,2012-2014,3239.71,CC10144,522
Postage/Mailing,2012-2014,2494.81,CC10144,523
Professional Services,2012-2014,32990.31,CC10144,524
Advertising,2012-2014,581108.81,CC10144,525
Office Supplies,2012-2014,1481.6,CC10144,526
"Surveys, Polls & Voter Lists",2012-2014,22870.09,CC10144,527
Printing,2012-2014,1928.7,CC10144,528
Food & Beverages,2012-2014,27945.74,CC10144,529
Other,2012-2014,8106.41,CC10144,530
Hawaii Election Campaign Fund,2012-2014,4600,CC10144,531
Bank Charges & Adjustments,2014-2016,39.96,CC10144,532
Utilities,2014-2016,196.51,CC10144,533
Professional Services,2014-2016,1718.32,CC10144,534
Food & Beverages,2014-2016,72.17,CC10144,535
Postage/Mailing,2014-2016,491.92,CC10144,536
Hawaii Election Campaign Fund,2014-2016,583,CC10144,537
Postage/Mailing,2016-2018,90,CC10144,538
Bank Charges & Adjustments,2016-2018,85.32,CC10144,539
Contribution to Community Organization,2006-2008,2000,CC10145,540
Bank Charges & Adjustments,2006-2008,18.55,CC10145,541
Professional Services,2006-2008,367.64,CC10145,542
Filing Fee,2006-2008,258,CC10146,543
Bank Charges & Adjustments,2006-2008,26.14,CC10146,544
Vehicle,2006-2008,322.48,CC10146,545
Durable Assets,2006-2008,1520.11,CC10146,546
Advertising,2006-2008,24826.8,CC10146,547
Travel & Lodging,2006-2008,835.55,CC10146,548
Lease/Rent,2006-2008,1925.21,CC10146,549
Postage/Mailing,2006-2008,3632.9,CC10146,550
Office Supplies,2006-2008,749.69,CC10146,551
Other,2006-2008,155.84,CC10146,552
Printing,2006-2008,4769.62,CC10146,553
Food & Beverages,2006-2008,10271.53,CC10146,554
Contribution to Political Party,2006-2008,2035,CC10146,555
Utilities,2006-2008,1176.17,CC10146,556
Contribution to Community Organization,2006-2008,1255,CC10146,557
Professional Services,2006-2008,13408.38,CC10146,558
Insurance,2008-2010,1682.76,CC10146,559
