reg_no,candidate_name,office,district,county,party
CC11040,"Horoshko, Ronald",Kauai Council,15,Kauai,Democrat
CC11041,"Hunt, Tiffany Edwards",Hawaii Council,,,
CC11042,"Hopkins, Margarita",Hawaii Council,2,Hawaii,Non-Partisan
CC11043,"DeSilva Carveiro, Debralynn",Mayor,,Kauai,Democrat
CC11044,"Apana, James",House,9,,Democrat
CC11045,"Wendt, Mahealani",OHA,2nd Dept. (Maui),,Non-Partisan
CC11046,"Nava, Frederick",Maui Council,,,
CC11047,"Danner, Michael",Senate,24,,Republican
CC11048,"Jordan, Brian",House,,,
CC11049,"Kukahiko, Eldean",House,,,
