expenditure_category,election_period,amount,reg_no,id
Lease/Rent,2010-2012,4957.66,CC10132,47
Taxes,2008-2010,15663.22,CC10132,48
Bank Charges & Adjustments,2012-2014,149.88,CC10132,49
Other,2010-2012,1961.65,CC10132,50
Office Supplies,2006-2008,6579.06,CC10132,51
Insurance,2008-2010,3931.98,CC10132,52
Filing Fee,2006-2008,500.00,CC10132,53
Printing,2010-2012,23035.96,CC10133,54
Other,2010-2012,42.93,CC10133,55
Food & Beverages,2012-2014,400.00,CC10133,56
Bank Charges & Adjustments,2012-2014,79.26,CC10133,57
Postage/Mailing,2010-2012,21901.29,CC10133,58
Office Supplies,2010-2012,114.24,CC10133,59
Professional Services,2010-2012,13997.75,CC10133,60
Bank Charges & Adjustments,2010-2012,402.84,CC10133,61
Food & Beverages,2010-2012,2467.13,CC10133,62
Professional Services,2012-2014,1340.69,CC10133,63
Lease/Rent,2006-2008,250.00,CC10134,64
Filing Fee,2006-2008,250.00,CC10134,65
Advertising,2006-2008,5187.36,CC10134,66
Other,2010-2012,56100.00,CC10134,67
Professional Services,2006-2008,5445.11,CC10134,68
Contribution to Community Organization,2012-2014,4000.00,CC10134,69
Hawaii Election Campaign Fund,2012-2014,2875.00,CC10134,70
Durable Assets,2006-2008,8282.61,CC10134,71
Contribution to Community Organization,2010-2012,12500.00,CC10134,72
Professional Services,2008-2010,2967.26,CC10134,73
Hawaii Election Campaign Fund,2006-2008,1000.00,CC10134,74
Other,2012-2014,2000.00,CC10134,75
Other,2008-2010,239.59,CC10134,76
Contribution to Community Organization,2008-2010,782.49,CC10134,77
Other,2006-2008,3252.38,CC10134,78
Professional Services,2012-2014,825.00,CC10134,79
Postage/Mailing,2006-2008,339.00,CC10134,80
Bank Charges & Adjustments,2006-2008,5.00,CC10134,81
Food & Beverages,2008-2010,63.87,CC10134,82
Printing,2006-2008,18488.16,CC10134,83
Professional Services,2010-2012,3386.38,CC10134,84
"Surveys, Polls & Voter Lists",2006-2008,444.73,CC10134,85
Office Supplies,2006-2008,2722.50,CC10134,86
Food & Beverages,2006-2008,6929.98,CC10134,87
Advertising,2008-2010,1040.99,CC10134,88
Utilities,2006-2008,43.96,CC10134,89
Other,2008-2010,2979.35,CC10135,90
Travel & Lodging,2010-2012,1359.82,CC10135,91
Bank Charges & Adjustments,2010-2012,61.97,CC10135,92
Food & Beverages,2012-2014,7109.49,CC10135,93
Contribution to Community Organization,2010-2012,2605.00,CC10135,94
Contribution to Political Party,2008-2010,750.00,CC10135,95
Contribution to Political Party,2012-2014,1000.00,CC10135,96
Professional Services,2012-2014,6161.55,CC10135,97
Contribution to Community Organization,2006-2008,1120.00,CC10135,98
Postage/Mailing,2012-2014,159.59,CC10135,99
Printing,2012-2014,197.92,CC10135,100
Advertising,2010-2012,13440.38,CC10135,101
Travel & Lodging,2006-2008,1689.98,CC10135,102
Vehicle,2006-2008,5425.15,CC10135,103
Lease/Rent,2008-2010,542.42,CC10135,104
Office Supplies,2010-2012,711.15,CC10135,105
Food & Beverages,2010-2012,12226.65,CC10135,106
Other,2010-2012,4320.66,CC10135,107
Candidate Fundraiser Tickets,2006-2008,200.00,CC10135,108
Utilities,2006-2008,168.04,CC10135,109
Office Supplies,2012-2014,930.98,CC10135,110
Contribution to Political Party,2010-2012,1805.00,CC10135,111
Office Supplies,2008-2010,1278.70,CC10135,112
Office Supplies,2006-2008,1291.81,CC10135,113
Lease/Rent,2010-2012,156.25,CC10135,114
Postage/Mailing,2008-2010,289.22,CC10135,115
Vehicle,2008-2010,1253.15,CC10135,116
Professional Services,2006-2008,96429.40,CC10135,117
Filing Fee,2010-2012,258.00,CC10135,118
Lease/Rent,2006-2008,1509.42,CC10135,119
"Surveys, Polls & Voter Lists",2010-2012,1000.00,CC10135,120
Postage/Mailing,2010-2012,448.91,CC10135,121
Professional Services,2008-2010,9698.66,CC10135,122
Printing,2006-2008,3645.49,CC10135,123
Contribution to Community Organization,2008-2010,1840.00,CC10135,124
Other,2012-2014,1563.99,CC10135,125
Advertising,2006-2008,38855.34,CC10135,126
Advertising,2008-2010,2824.04,CC10135,127
Professional Services,2010-2012,32443.26,CC10135,128
Candidate Fundraiser Tickets,2012-2014,1000.00,CC10135,129
Candidate Fundraiser Tickets,2008-2010,2250.00,CC10135,130
Contribution to Community Organization,2012-2014,1270.00,CC10135,131
Other,2006-2008,8887.62,CC10135,132
Food & Beverages,2008-2010,4604.43,CC10135,133
"Surveys, Polls & Voter Lists",2006-2008,12722.72,CC10135,134
Filing Fee,2006-2008,258.00,CC10135,135
Printing,2010-2012,1139.53,CC10135,136
Candidate Fundraiser Tickets,2010-2012,500.00,CC10135,137
Vehicle,2012-2014,1252.91,CC10135,138
Bank Charges & Adjustments,2006-2008,31.00,CC10135,139
Travel & Lodging,2008-2010,1784.93,CC10135,140
Contribution to Political Party,2006-2008,500.00,CC10135,141
Vehicle,2010-2012,2329.88,CC10135,142
Food & Beverages,2006-2008,9067.91,CC10135,143
Advertising,2012-2014,2068.33,CC10135,144
Postage/Mailing,2006-2008,1275.92,CC10135,145
Postage/Mailing,2008-2010,971.36,CC10136,146
Bank Charges & Adjustments,2010-2012,90.00,CC10136,147
Food & Beverages,2006-2008,1314.90,CC10136,148
Professional Services,2008-2010,110346.50,CC10136,149
Lease/Rent,2010-2012,116.00,CC10136,150
Other,2006-2008,480.00,CC10136,151
Office Supplies,2006-2008,99.44,CC10136,152
Advertising,2012-2014,15.00,CC10136,153
Advertising,2006-2008,3159.16,CC10136,154
Food & Beverages,2008-2010,14039.96,CC10136,155
"Surveys, Polls & Voter Lists",2008-2010,5130.89,CC10136,156
Other,2010-2012,300.00,CC10136,157
Filing Fee,2008-2010,750.00,CC10136,158
Bank Charges & Adjustments,2012-2014,105.00,CC10136,159
Lease/Rent,2006-2008,108.00,CC10136,160
Other,2008-2010,7974.75,CC10136,161
Durable Assets,2006-2008,4719.11,CC10136,162
Travel & Lodging,2008-2010,4903.39,CC10136,163
Contribution to Community Organization,2006-2008,710.76,CC10136,164
Advertising,2008-2010,255780.24,CC10136,165
Printing,2008-2010,50940.34,CC10136,166
Printing,2006-2008,1536.13,CC10136,167
Postage/Mailing,2006-2008,3659.60,CC10136,168
Lease/Rent,2008-2010,1077.26,CC10136,169
Contribution to Community Organization,2008-2010,1416.00,CC10136,170
Contribution to Political Party,2006-2008,2150.00,CC10136,171
Office Supplies,2008-2010,366.21,CC10136,172
Printing,2010-2012,6326.48,CC10137,173
Other,2008-2010,7352.90,CC10137,174
Advertising,2008-2010,3151.19,CC10137,175
Vehicle,2006-2008,7206.09,CC10137,176
Printing,2012-2014,2415.88,CC10137,177
Postage/Mailing,2008-2010,23792.69,CC10137,178
Other,2012-2014,2103.51,CC10137,179
Office Supplies,2012-2014,250.69,CC10137,180
Postage/Mailing,2010-2012,11430.57,CC10137,181
Vehicle,2010-2012,7131.09,CC10137,182
Bank Charges & Adjustments,2010-2012,276.52,CC10137,183
Contribution to Community Organization,2012-2014,974.37,CC10137,184
Professional Services,2010-2012,8769.41,CC10137,185
Printing,2006-2008,12404.33,CC10137,186
Insurance,2006-2008,1508.00,CC10137,187
Travel & Lodging,2010-2012,33.00,CC10137,188
Bank Charges & Adjustments,2012-2014,42.00,CC10137,189
Contribution to Community Organization,2006-2008,1550.00,CC10137,190
Food & Beverages,2010-2012,6408.13,CC10137,191
Office Supplies,2006-2008,1316.47,CC10137,192
Bank Charges & Adjustments,2008-2010,490.00,CC10137,193
Bank Charges & Adjustments,2006-2008,513.00,CC10137,194
Candidate Fundraiser Tickets,2006-2008,4000.00,CC10137,195
Office Supplies,2008-2010,1707.68,CC10137,196
Printing,2008-2010,10437.83,CC10137,197
Contribution to Community Organization,2010-2012,490.00,CC10137,198
Food & Beverages,2006-2008,13481.70,CC10137,199
Advertising,2012-2014,1455.00,CC10137,200
Durable Assets,2006-2008,35157.20,CC10137,201
Advertising,2010-2012,20749.90,CC10137,202
Professional Services,2006-2008,11308.89,CC10137,203
Candidate Fundraiser Tickets,2008-2010,170.00,CC10137,204
Contribution to Political Party,2006-2008,250.00,CC10137,205
Other,2010-2012,5850.83,CC10137,206
Food & Beverages,2012-2014,2661.31,CC10137,207
Professional Services,2008-2010,10468.85,CC10137,208
Professional Services,2012-2014,3974.35,CC10137,209
Advertising,2006-2008,20582.50,CC10137,210
Contribution to Community Organization,2008-2010,2980.00,CC10137,211
Office Supplies,2010-2012,1144.92,CC10137,212
Food & Beverages,2008-2010,7181.06,CC10137,213
Vehicle,2012-2014,4490.31,CC10137,214
Filing Fee,2006-2008,250.00,CC10137,215
Other,2006-2008,13325.50,CC10137,216
Postage/Mailing,2006-2008,32285.49,CC10137,217
Postage/Mailing,2012-2014,2838.90,CC10137,218
Vehicle,2008-2010,6834.90,CC10137,219
Professional Services,2010-2012,152080.74,CC10138,220
Other,2010-2012,24095.97,CC10138,221
Bank Charges & Adjustments,2012-2014,153.88,CC10138,222
Contribution to Political Party,2008-2010,500.00,CC10138,223
Lease/Rent,2008-2010,11784.14,CC10138,224
Utilities,2010-2012,6630.17,CC10138,225
Postage/Mailing,2012-2014,284.92,CC10138,226
"Surveys, Polls & Voter Lists",2010-2012,64244.66,CC10138,227
"Surveys, Polls & Voter Lists",2008-2010,250.00,CC10138,228
Office Supplies,2010-2012,1236.43,CC10138,229
Office Supplies,2008-2010,1805.20,CC10138,230
Food & Beverages,2010-2012,94295.72,CC10138,231
Lease/Rent,2010-2012,20235.56,CC10138,232
Printing,2010-2012,46775.13,CC10138,233
Advertising,2010-2012,318324.09,CC10138,234
Bank Charges & Adjustments,2008-2010,2650.36,CC10138,235
Advertising,2008-2010,359210.91,CC10138,236
Other,2008-2010,17221.13,CC10138,237
Durable Assets,2008-2010,523.55,CC10138,238
Postage/Mailing,2008-2010,16829.42,CC10138,239
Professional Services,2008-2010,40749.56,CC10138,240
Filing Fee,2010-2012,500.00,CC10138,241
Other,2012-2014,87.88,CC10138,242
Insurance,2008-2010,1980.42,CC10138,243
Taxes,2010-2012,25.50,CC10138,244
Insurance,2010-2012,2246.86,CC10138,245
Contribution to Community Organization,2012-2014,2025.00,CC10138,246
Employee Services,2010-2012,44940.37,CC10138,247
Utilities,2008-2010,1331.94,CC10138,248
Filing Fee,2008-2010,500.00,CC10138,249
Bank Charges & Adjustments,2010-2012,3238.87,CC10138,250
Printing,2008-2010,51385.02,CC10138,251
Food & Beverages,2008-2010,13781.30,CC10138,252
Travel & Lodging,2010-2012,3224.03,CC10138,253
Durable Assets,2010-2012,1496.59,CC10138,254
Utilities,2012-2014,159.84,CC10138,255
Professional Services,2012-2014,1112.27,CC10138,256
Postage/Mailing,2010-2012,3559.37,CC10138,257
Food & Beverages,2010-2012,12142.27,CC10140,258
Vehicle,2006-2008,282.16,CC10140,259
Printing,2008-2010,1551.47,CC10140,260
Bank Charges & Adjustments,2010-2012,96.39,CC10140,261
Lease/Rent,2012-2014,120.00,CC10140,262
Filing Fee,2010-2012,258.00,CC10140,263
Contribution to Community Organization,2010-2012,250.00,CC10140,264
Other,2012-2014,216.24,CC10140,265
Bank Charges & Adjustments,2006-2008,4847.33,CC10140,266
Postage/Mailing,2006-2008,765.26,CC10140,267
Utilities,2008-2010,6553.30,CC10140,268
Contribution to Community Organization,2008-2010,200.00,CC10140,269
Printing,2012-2014,1081.06,CC10140,270
Durable Assets,2006-2008,5182.23,CC10140,271
Office Supplies,2010-2012,4016.83,CC10140,272
Utilities,2006-2008,1982.74,CC10140,273
Printing,2010-2012,10203.89,CC10140,274
Contribution to Community Organization,2012-2014,300.00,CC10140,275
Travel & Lodging,2008-2010,2026.06,CC10140,276
Food & Beverages,2012-2014,4594.17,CC10140,277
Advertising,2006-2008,1884.58,CC10140,278
Professional Services,2010-2012,23700.00,CC10140,279
Other,2006-2008,2242.42,CC10140,280
Office Supplies,2012-2014,1230.40,CC10140,281
Utilities,2010-2012,5087.37,CC10140,282
Office Supplies,2008-2010,654.63,CC10140,283
Lease/Rent,2008-2010,198.00,CC10140,284
Travel & Lodging,2006-2008,2828.32,CC10140,285
Travel & Lodging,2010-2012,4139.36,CC10140,286
Utilities,2012-2014,2521.67,CC10140,287
Hawaii Election Campaign Fund,2006-2008,50.00,CC10140,288
Food & Beverages,2008-2010,2024.06,CC10140,289
Durable Assets,2012-2014,314.12,CC10140,290
Lease/Rent,2010-2012,206.00,CC10140,291
Professional Services,2008-2010,16520.85,CC10140,292
Filing Fee,2006-2008,258.00,CC10140,293
Professional Services,2012-2014,27500.00,CC10140,294
Advertising,2010-2012,1419.67,CC10140,295
Professional Services,2006-2008,41083.60,CC10140,296
Other,2010-2012,5359.59,CC10140,297
Lease/Rent,2006-2008,132.00,CC10140,298
Food & Beverages,2006-2008,7565.73,CC10140,299
Durable Assets,2008-2010,645.33,CC10140,300
Durable Assets,2010-2012,7687.41,CC10140,301
"Surveys, Polls & Voter Lists",2010-2012,351.04,CC10140,302
Contribution to Political Party,2010-2012,325.00,CC10140,303
Travel & Lodging,2012-2014,973.16,CC10140,304
Other,2008-2010,206.24,CC10140,305
Postage/Mailing,2010-2012,4073.42,CC10140,306
Advertising,2008-2010,857.50,CC10140,307
Office Supplies,2006-2008,6105.77,CC10140,308
Printing,2006-2008,4239.36,CC10140,309
Contribution to Community Organization,2006-2008,925.41,CC10141,310
Contribution to Community Organization,2010-2012,5154.23,CC10142,311
Other,2008-2010,89.34,CC10142,312
Hawaii Election Campaign Fund,2012-2014,788.26,CC10142,313
Office Supplies,2010-2012,68.34,CC10142,314
Contribution to Political Party,2006-2008,2500.00,CC10142,315
Food & Beverages,2008-2010,967.61,CC10142,316
Vehicle,2008-2010,8.00,CC10142,317
Advertising,2008-2010,309.42,CC10142,318
Other,2006-2008,4789.78,CC10142,319
Other,2010-2012,17144.84,CC10142,320
Bank Charges & Adjustments,2012-2014,20.00,CC10142,321
Contribution to Community Organization,2008-2010,1475.05,CC10142,322
Vehicle,2010-2012,111.20,CC10142,323
Lease/Rent,2006-2008,156.03,CC10142,324
Postage/Mailing,2006-2008,1163.67,CC10142,325
Food & Beverages,2006-2008,9050.65,CC10142,326
Contribution to Political Party,2010-2012,5185.00,CC10142,327
Candidate Fundraiser Tickets,2010-2012,200.00,CC10142,328
Bank Charges & Adjustments,2006-2008,48.00,CC10142,329
Office Supplies,2006-2008,538.23,CC10142,330
Lease/Rent,2008-2010,116.00,CC10142,331
Food & Beverages,2010-2012,1190.94,CC10142,332
Contribution to Community Organization,2006-2008,525.00,CC10142,333
Printing,2006-2008,1109.33,CC10142,334
Advertising,2006-2008,15362.41,CC10142,335
Vehicle,2006-2008,44.50,CC10142,336
Filing Fee,2006-2008,250.00,CC10142,337
Professional Services,2006-2008,12721.70,CC10142,338
Office Supplies,2008-2010,247.47,CC10142,339
Contribution to Political Party,2006-2008,2500.00,CC10143,340
Postage/Mailing,2006-2008,9778.88,CC10143,341
Durable Assets,2006-2008,8594.88,CC10143,342
Contribution to Political Party,2008-2010,25000.00,CC10143,343
Office Supplies,2006-2008,3038.43,CC10143,344
Printing,2008-2010,2592.93,CC10143,345
Office Supplies,2008-2010,554.01,CC10143,346
Professional Services,2008-2010,57688.09,CC10143,347
Contribution to Political Party,2010-2012,14000.00,CC10143,348
Professional Services,2010-2012,10567.08,CC10143,349
Candidate Fundraiser Tickets,2006-2008,5853.39,CC10143,350
"Surveys, Polls & Voter Lists",2008-2010,31863.77,CC10143,351
Postage/Mailing,2008-2010,2030.60,CC10143,352
Bank Charges & Adjustments,2008-2010,57.50,CC10143,353
Other,2008-2010,8304.02,CC10143,354
Printing,2006-2008,10330.72,CC10143,355
Advertising,2008-2010,8204.73,CC10143,356
Contribution to Community Organization,2010-2012,2000.00,CC10143,357
Food & Beverages,2008-2010,4029.21,CC10143,358
Hawaii Election Campaign Fund,2006-2008,1250.10,CC10143,359
Professional Services,2006-2008,26121.46,CC10143,360
Other,2010-2012,101535.74,CC10143,361
Bank Charges & Adjustments,2006-2008,419.64,CC10143,362
Lease/Rent,2008-2010,16327.40,CC10143,363
Advertising,2006-2008,47098.60,CC10143,364
Travel & Lodging,2008-2010,66.15,CC10143,365
"Surveys, Polls & Voter Lists",2006-2008,279.25,CC10143,366
Other,2006-2008,8133.28,CC10143,367
Lease/Rent,2006-2008,600.00,CC10143,368
Food & Beverages,2006-2008,5839.53,CC10143,369
Postage/Mailing,2006-2008,11171.32,CC10144,370
Other,2010-2012,6017.89,CC10144,371
Contribution to Community Organization,2008-2010,945.00,CC10144,372
Advertising,2010-2012,48829.15,CC10144,373
Vehicle,2012-2014,73.01,CC10144,374
Postage/Mailing,2010-2012,16588.54,CC10144,375
Contribution to Political Party,2006-2008,410.00,CC10144,376
Printing,2010-2012,12995.66,CC10144,377
Other,2008-2010,1393.91,CC10144,378
Printing,2006-2008,11436.22,CC10144,379
Advertising,2012-2014,523.56,CC10144,380
Postage/Mailing,2008-2010,444.00,CC10144,381
Lease/Rent,2006-2008,928.27,CC10144,382
Hawaii Election Campaign Fund,2010-2012,4000.00,CC10144,383
Office Supplies,2010-2012,1653.25,CC10144,384
"Surveys, Polls & Voter Lists",2012-2014,22830.82,CC10144,385
Contribution to Community Organization,2006-2008,450.00,CC10144,386
Professional Services,2012-2014,8308.50,CC10144,387
Postage/Mailing,2012-2014,1003.35,CC10144,388
Professional Services,2008-2010,5739.45,CC10144,389
Filing Fee,2008-2010,56.94,CC10144,390
Durable Assets,2008-2010,230.34,CC10144,391
Employee Services,2006-2008,1500.00,CC10144,392
Candidate Fundraiser Tickets,2008-2010,400.00,CC10144,393
Filing Fee,2010-2012,46.21,CC10144,394
Other,2012-2014,3593.39,CC10144,395
Durable Assets,2012-2014,759.11,CC10144,396
Utilities,2008-2010,25.90,CC10144,397
Candidate Fundraiser Tickets,2010-2012,400.00,CC10144,398
Food & Beverages,2006-2008,8107.21,CC10144,399
Advertising,2008-2010,1043.76,CC10144,400
Food & Beverages,2010-2012,31912.92,CC10144,401
Durable Assets,2006-2008,2196.75,CC10144,402
Contribution to Community Organization,2012-2014,520.00,CC10144,403
Office Supplies,2006-2008,6048.88,CC10144,404
Contribution to Community Organization,2010-2012,813.30,CC10144,405
Office Supplies,2008-2010,1594.89,CC10144,406
Professional Services,2010-2012,1394.00,CC10144,407
Filing Fee,2006-2008,250.00,CC10144,408
Vehicle,2010-2012,315.38,CC10144,409
Food & Beverages,2012-2014,14786.06,CC10144,410
Food & Beverages,2008-2010,9472.93,CC10144,411
Advertising,2006-2008,6058.43,CC10144,412
Office Supplies,2012-2014,1199.05,CC10144,413
Other,2006-2008,1417.33,CC10144,414
Candidate Fundraiser Tickets,2012-2014,350.00,CC10144,415
Printing,2012-2014,373.72,CC10144,416
Lease/Rent,2010-2012,52.35,CC10144,417
Hawaii Election Campaign Fund,2012-2014,3000.00,CC10144,418
Professional Services,2006-2008,367.64,CC10145,419
Bank Charges & Adjustments,2006-2008,18.55,CC10145,420
Contribution to Community Organization,2006-2008,2000.00,CC10145,421
Printing,2006-2008,4769.62,CC10146,422
Advertising,2012-2014,59.00,CC10146,423
Other,2012-2014,46.07,CC10146,424
Vehicle,2006-2008,322.48,CC10146,425
Office Supplies,2008-2010,2799.84,CC10146,426
Professional Services,2008-2010,84710.36,CC10146,427
Lease/Rent,2006-2008,1925.21,CC10146,428
Vehicle,2008-2010,3707.23,CC10146,429
Durable Assets,2006-2008,1520.11,CC10146,430
Contribution to Political Party,2010-2012,250.00,CC10146,431
Professional Services,2006-2008,13408.38,CC10146,432
Utilities,2010-2012,361.91,CC10146,433
Advertising,2006-2008,24826.80,CC10146,434
Insurance,2008-2010,1682.76,CC10146,435
Food & Beverages,2010-2012,2320.77,CC10146,436
Lease/Rent,2010-2012,1137.00,CC10146,437
Filing Fee,2010-2012,1750.00,CC10146,438
Professional Services,2012-2014,182.29,CC10146,439
"Surveys, Polls & Voter Lists",2010-2012,2135.00,CC10146,440
Other,2008-2010,3769.16,CC10146,441
Advertising,2010-2012,19239.05,CC10146,442
Printing,2010-2012,5041.64,CC10146,443
Contribution to Community Organization,2008-2010,1045.00,CC10146,444
Postage/Mailing,2006-2008,3632.90,CC10146,445
Bank Charges & Adjustments,2008-2010,4356.38,CC10146,446
Other,2006-2008,155.84,CC10146,447
Office Supplies,2010-2012,129.38,CC10146,448
Travel & Lodging,2006-2008,835.55,CC10146,449
Utilities,2008-2010,4175.69,CC10146,450
Contribution to Community Organization,2006-2008,1255.00,CC10146,451
Travel & Lodging,2008-2010,16533.75,CC10146,452
Bank Charges & Adjustments,2010-2012,245.01,CC10146,453
Durable Assets,2010-2012,334.95,CC10146,454
Professional Services,2010-2012,6003.54,CC10146,455
Food & Beverages,2012-2014,207.52,CC10146,456
Utilities,2006-2008,1176.17,CC10146,457
Employee Services,2008-2010,6329.72,CC10146,458
"Surveys, Polls & Voter Lists",2008-2010,24235.06,CC10146,459
Contribution to Community Organization,2010-2012,370.00,CC10146,460
Office Supplies,2006-2008,749.69,CC10146,461
Bank Charges & Adjustments,2006-2008,26.14,CC10146,462
Contribution to Political Party,2008-2010,1689.00,CC10146,463
Lease/Rent,2008-2010,13499.50,CC10146,464
Advertising,2008-2010,96282.04,CC10146,465
Filing Fee,2008-2010,75.00,CC10146,466
Printing,2008-2010,18055.35,CC10146,467
Postage/Mailing,2010-2012,1352.00,CC10146,468
Food & Beverages,2008-2010,21925.54,CC10146,469
Contribution to Political Party,2006-2008,2035.00,CC10146,470
Other,2010-2012,3093.21,CC10146,471
Postage/Mailing,2008-2010,5338.75,CC10146,472
Filing Fee,2006-2008,258.00,CC10146,473
Food & Beverages,2006-2008,10271.53,CC10146,474
Food & Beverages,2010-2012,5392.70,CC10147,475
Food & Beverages,2008-2010,1397.75,CC10147,476
Professional Services,2006-2008,50.00,CC10147,477
Contribution to Political Party,2012-2014,1000.00,CC10147,478
Contribution to Community Organization,2008-2010,2462.25,CC10147,479
Postage/Mailing,2010-2012,12263.63,CC10147,480
Office Supplies,2006-2008,671.07,CC10147,481
Bank Charges & Adjustments,2010-2012,20.09,CC10147,482
Vehicle,2012-2014,39.74,CC10147,483
Contribution to Community Organization,2006-2008,1000.00,CC10147,484
Bank Charges & Adjustments,2006-2008,105.00,CC10147,485
Postage/Mailing,2012-2014,6362.17,CC10147,486
Other,2010-2012,9155.35,CC10147,487
Lease/Rent,2012-2014,16701.05,CC10147,488
Advertising,2010-2012,150.00,CC10147,489
Other,2008-2010,631.92,CC10147,490
Advertising,2006-2008,769.26,CC10147,491
Insurance,2012-2014,728.08,CC10147,492
Travel & Lodging,2012-2014,4952.21,CC10147,493
Contribution to Political Party,2010-2012,175.00,CC10147,494
Filing Fee,2006-2008,25.00,CC10147,495
Contribution to Community Organization,2012-2014,2315.50,CC10147,496
Filing Fee,2010-2012,250.00,CC10147,497
Contribution to Community Organization,2010-2012,2468.00,CC10147,498
Office Supplies,2010-2012,6607.20,CC10147,499
Lease/Rent,2010-2012,90.00,CC10147,500
Printing,2012-2014,251.31,CC10147,501
Professional Services,2008-2010,50.00,CC10147,502
Durable Assets,2006-2008,2487.30,CC10147,503
Professional Services,2010-2012,125.00,CC10147,504
Bank Charges & Adjustments,2008-2010,205.00,CC10147,505
Postage/Mailing,2006-2008,365.75,CC10147,506
Food & Beverages,2012-2014,12288.32,CC10147,507
Printing,2006-2008,452.93,CC10147,508
Office Supplies,2008-2010,553.69,CC10147,509
Durable Assets,2012-2014,1366.25,CC10147,510
"Surveys, Polls & Voter Lists",2010-2012,523.56,CC10147,511
Advertising,2008-2010,387.96,CC10147,512
Printing,2008-2010,442.77,CC10147,513
Candidate Fundraiser Tickets,2010-2012,1000.00,CC10147,514
Postage/Mailing,2008-2010,884.53,CC10147,515
Hawaii Election Campaign Fund,2008-2010,50.00,CC10147,516
"Surveys, Polls & Voter Lists",2012-2014,2528.80,CC10147,517
Other,2012-2014,2574.80,CC10147,518
Professional Services,2012-2014,21718.38,CC10147,519
Other,2006-2008,2482.28,CC10147,520
Printing,2010-2012,8571.25,CC10147,521
Office Supplies,2012-2014,703.99,CC10147,522
Postage/Mailing,2006-2008,9182.11,CC10148,523
Other,2006-2008,61645.31,CC10148,524
Postage/Mailing,2010-2012,4078.91,CC10148,525
Utilities,2006-2008,6884.19,CC10148,526
Advertising,2010-2012,28989.34,CC10148,527
Food & Beverages,2006-2008,37907.01,CC10148,528
Taxes,2006-2008,39.42,CC10148,529
Food & Beverages,2010-2012,605.62,CC10148,530
Candidate Fundraiser Tickets,2006-2008,800.76,CC10148,531
Bank Charges & Adjustments,2012-2014,3.20,CC10148,532
Other,2008-2010,39.58,CC10148,533
Bank Charges & Adjustments,2010-2012,155.67,CC10148,534
Contribution to Community Organization,2006-2008,2007.65,CC10148,535
Printing,2010-2012,870.33,CC10148,536
Filing Fee,2006-2008,500.00,CC10148,537
"Surveys, Polls & Voter Lists",2006-2008,14614.47,CC10148,538
Insurance,2006-2008,3387.81,CC10148,539
Professional Services,2006-2008,13194.30,CC10148,540
Postage/Mailing,2008-2010,2995.27,CC10148,541
Advertising,2006-2008,60196.79,CC10148,542
Advertising,2012-2014,3372.35,CC10148,543
Lease/Rent,2006-2008,30263.79,CC10148,544
Travel & Lodging,2006-2008,2181.05,CC10148,545
Contribution to Political Party,2010-2012,300.00,CC10148,546
Printing,2006-2008,7655.44,CC10148,547
Professional Services,2010-2012,15336.25,CC10148,548
